path,tag,rating,title
europe/france/paris/louvre.md,museum,5,Louvre Museum
europe/france/paris/musee_dorsay.md,museum,5,Musée d'Orsay
europe/france/paris/centre_pompidou.md,museum,4,Centre Pompidou
europe/france/paris/musee_rodin.md,museum,4,Musée Rodin
europe/france/paris/musee_picasso.md,museum,4,Musée Picasso Paris
europe/france/paris/musee_de_cluny.md,museum,4,Musée de Cluny
europe/france/paris/musee_carnavalet.md,museum,3,Musée Carnavalet
europe/france/paris/musee_de_la_chasse.md,museum,3,Musée de la Chasse et de la Nature
europe/france/paris/chantilly.md,museum,4,Chantilly
europe/france/paris/catacombs.md,museum,3,The Catacombs
europe/france/paris/eiffel_tower.md,landmark,5,Eiffel Tower
europe/france/paris/arc_de_triomphe.md,landmark,4,Arc de Triomphe
europe/france/paris/versailles.md,landmark,5,Palace of Versailles
europe/france/paris/louvre.md,landmark,5,Louvre Museum
europe/france/paris/notre_dame.md,landmark,5,Notre-Dame Cathedral
europe/france/paris/sacre_coeur.md,landmark,3,Sacré-Cœur Basilica
europe/france/paris/pantheon.md,landmark,3,The Panthéon
europe/france/paris/sainte_chapelle.md,landmark,4,Sainte-Chapelle
europe/france/paris/notre_dame.md,church,5,Notre-Dame Cathedral
europe/france/paris/sainte_chapelle.md,church,5,Sainte-Chapelle
europe/france/paris/sacre_coeur.md,church,4,Sacré-Cœur Basilica
europe/france/paris/saint_gervais.md,church,3,Church of Saint-Gervais-et-Saint-Protais
europe/france/paris/bistrot_paul_bert.md,restaurant,5,Bistrot Paul Bert
europe/france/paris/benoit.md,restaurant,5,Benoit
europe/france/paris/septime.md,restaurant,5,Septime
europe/france/paris/le_grand_vefour.md,restaurant,5,Le Grand Véfour
europe/france/paris/chez_josephine.md,restaurant,4,Chez Josephine (Dumonet)
europe/france/paris/frenchie.md,restaurant,4,Frenchie
europe/france/paris/au_passage.md,restaurant,4,Au Passage
europe/france/paris/chez_omar.md,restaurant,4,Chez Omar
europe/france/paris/chez_denise.md,restaurant,4,Chez Denise
europe/france/paris/brasserie_lipp.md,restaurant,4,Brasserie Lipp
europe/france/paris/la_tour_d_argent.md,restaurant,4,La Tour d'Argent
europe/france/paris/ze_kitchen_galerie.md,restaurant,3,Ze Kitchen Galerie
europe/france/paris/prescription_cocktail_club.md,bar,5,Prescription Cocktail Club
europe/france/paris/le_baron_rouge.md,bar,5,Le Baron Rouge
europe/france/paris/le_comptoir_general.md,bar,4,Le Comptoir Général
europe/france/paris/septime_cave.md,bar,4,Septime La Cave
europe/france/paris/aux_deux_amis.md,bar,4,Aux Deux Amis
europe/france/paris/cave_des_abbesses.md,bar,3,Cave des Abbesses
europe/france/paris/chez_prune.md,bar,3,Chez Prune
europe/france/paris/la_fontaine_de_belleville.md,bar,2,La Fontaine de Belleville
europe/france/paris/le_marche_des_enfants_rouges.md,market,5,Marché des Enfants Rouges
europe/france/paris/marche_beauvau.md,market,5,Marché Beauvau and Marché d'Aligre
europe/france/paris/fleemarket.md,market,4,Marché aux Puces de Saint-Ouen
europe/france/paris/marhca_aux_puces_d.md,market,3,Flea Market at Vanves
europe/france/paris/le_bon_marche.md,market,3,Le Bon Marché
europe/france/paris/eiffel_tower.md,sight,5,Eiffel Tower
europe/france/paris/notre_dame.md,sight,5,Notre-Dame Cathedral
europe/france/paris/place_des_vosges.md,sight,5,Place des Vosges
europe/france/paris/sainte_chapelle.md,sight,5,Sainte-Chapelle
europe/france/paris/versailles.md,sight,5,Palace of Versailles
europe/france/paris/the_village_of_giv.md,sight,5,Giverny — Monet's Gardens
europe/france/paris/arc_de_triomphe.md,sight,4,Arc de Triomphe
