world66_path,wv_name,reason
africa/benin/portonovo,Honmé Museum,duplicate: already covered as Palais Royal (Musée Honmè)
africa/burkinafaso/ouagadougou,Laongo,duplicate: already covered as Laongo Sculpture Symposium
africa/congobrazzaville/pointenoire,Mâ-Loango Regional Museum,duplicate: already covered as Musée Régional de Diosso (Mâ Loango)
africa/congokinshasa/mbandaka,Catholic Mission station and Central African history research centre of Bamanya,"reject: specialist research centre/mission, not clearly a traveller POI worth 6.0"
africa/egypt/siwa,Ain Duheiba,"reject: minor undecorated graves outside Siwa, below 6.0 threshold"
africa/ethiopia/danakilsdepression,Lake Bakili,"reject: obscure salt lake rarely included on itineraries, below local 6.0 threshold"
africa/ivorycoast/man,Les Cascades Naturelles de Man,duplicate: already covered as La Cascade
africa/kenya/thecoast/kilifi,African Barn Owl Cave,"reject: minor and poorly established visitor site outside Kilifi, below 6.0 threshold"
africa/kenya/westernkenya/kitale,Kitum Caves,duplicate/covered: belongs under existing Mount Elgon National Park POI
africa/malawi/nkhata_bay,Chizumulu Island,reject: island destination rather than flat POI for Nkhata Bay; wrong content shape
africa/malawi/nkhata_bay,Likoma Island,reject: island destination rather than flat POI for Nkhata Bay; wrong content shape
africa/morocco/meknes,Mausoleum of Sidi ben Aïssa,reject: closed to non-Muslims and not clearly visitor-accessible
africa/morocco/tangier,Palais Marshan,"reject: government residence, not clearly visitor-accessible"
africa/nigeria/benincity,Ogba Zoo,duplicate: already covered as Ogba Zoo and Nature Reserve
africa/nigeria/kaduna,Ahmadu Bello Stadium,"reject: generic sports stadium, below 6.0 traveller-interest threshold"
africa/nigeria/kaduna,Makarfi Plaza,"reject: generic commercial plaza, below 6.0 threshold"
africa/southafrica/franschhoek,Berg River Dam,"reject: utility dam/service infrastructure, not clearly worth 6.0 for Franschhoek"
africa/tunisia/hammamet,World War II battlefield and abandoned tanks,"reject: minor abandoned-tank site outside Hammamet, below 6.0 threshold"
asia/bangladesh/rajshahi,Central Park and Zoo,"reject: generic city park/zoo, below local 6.0 threshold"
asia/cambodia/siemreap,Butterfly Paradise,reject: commercial butterfly garden below 6.0 in a very strong Siem Reap lineup
africa/algeria/algiers,Djamaa el Djazaïr,duplicate: already covered as Grande Mosquée d'Alger
