world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,do,The Nordic Skiing Association of Anchorage,0.59,candidate,has description; high-value type; has external URL,,,Snow City Cafe,northamerica/unitedstates/alaska/anchorage/snow_city_cafe,0.385,,,missing_coordinates; has_external_url,http://www.anchoragenordicski.com/,https://en.wikivoyage.org/wiki/Anchorage
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,FunnyFest Calgary Comedy Festival,0.59,candidate,has description; high-value type; has external URL,,,Calgary by Air,northamerica/canada/alberta/calgary/calgary_by_air,0.468,,,missing_coordinates; has_external_url,https://funnyfest.com/,https://en.wikivoyage.org/wiki/Calgary
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,CIAA Basketball Tournament,0.59,candidate,has description; high-value type; has external URL,,,NASCAR Hall of Fame,northamerica/unitedstates/northcarolina/charlotte/nascar_hall_of_fame,0.444,,,missing_coordinates; has_external_url,http://www.ciaatournament.org/,https://en.wikivoyage.org/wiki/Charlotte
asia/thailand/nonthaburi_2,Nonthaburi,Nonthaburi,11,8,see,Chao Phraya Express Boat,0.59,candidate,has description; high-value type; has external URL,,,Wat Chalerm Phra Kiet,asia/thailand/nonthaburi_2/wat_chalerm_phra_kiet,0.489,,,missing_coordinates; has_external_url,http://www.chaophrayaexpressboat.com/en/home/,https://en.wikivoyage.org/wiki/Nonthaburi
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/chagford,Chagford,Chagford,5,9,do,Chagstock,0.59,candidate,has description; high-value type; has external URL,,,Castle Drogo,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/chagford/castle_drogo,0.476,,,missing_coordinates; has_external_url,https://chagstock.info,https://en.wikivoyage.org/wiki/Chagford
europe/slovenia/maribor,Maribor,Maribor,11,36,do,Festival Lent,0.59,candidate,has description; high-value type; has external URL,,,Maribor Castle,europe/slovenia/maribor/maribor_castle,0.296,,,missing_coordinates; has_external_url,http://lent.slovenija.net/,https://en.wikivoyage.org/wiki/Maribor
northamerica/unitedstates/washington/ocean_shores,Ocean Shores,Ocean Shores,8,5,do,The Weatherwax,0.59,candidate,has description; high-value type; has external URL,,,Ocean Shores Beach,northamerica/unitedstates/washington/ocean_shores/ocean_shores_beach,0.357,,,missing_coordinates; has_external_url,https://www.oceanshoresinfo.com/copy-34-of-portfolio-1-3-1-1-1-1-1-,https://en.wikivoyage.org/wiki/Ocean_Shores
australiaandpacific/australia/newsouthwales/armidale,Armidale,Armidale,7,9,see,Armidale Visitor Information Centre,0.59,candidate,has description; high-value type; has external URL,,,Cathedral Rock National Park,australiaandpacific/australia/newsouthwales/armidale/cathedral_rock_national_park,0.444,,,missing_coordinates; has_external_url,http://www.armidaletourism.com.au,https://en.wikivoyage.org/wiki/Armidale
europe/italy/tuscany/florenceprovince/chiantiregion/greveinchianti,Greve in Chianti,Greve in Chianti,6,8,do,Castello di Querceto,0.59,candidate,has description; high-value type; has external URL,,,Castle of Verrazzano,europe/italy/tuscany/florenceprovince/chiantiregion/greveinchianti/castle_of_verrazzano,0.5,,,missing_coordinates; has_external_url,http://www.castellodiquerceto.it/,https://en.wikivoyage.org/wiki/Greve_in_Chianti
europe/france/alpes/chamonix,Chamonix,Chamonix,19,38,do,Compagnie des Guides,0.59,candidate,has description; high-value type; has external URL,,,Aiguille du Midi,europe/france/alpes/chamonix/aiguille_du_midi,0.414,,,missing_coordinates; has_external_url,http://www.chamonix-guides.com/,https://en.wikivoyage.org/wiki/Chamonix
asia/bhutan/gelephu,Gelephu,Gelephu,3,9,do,Bhutan Centennial Distillery,0.59,candidate,has description; high-value type; has external URL,,,Royal Manas National Park,asia/bhutan/gelephu/royal_manas_national_park,0.302,,,missing_coordinates; has_external_url,https://www.facebook.com/people/Bhutan-Centennial-Distillery/100054426341935/,https://en.wikivoyage.org/wiki/Gelephu
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Carnival Week,0.59,candidate,has description; high-value type; has external URL,,,Riverside Market,australiaandpacific/newzealand/canterbury/christchurch/riverside_market,0.414,,,missing_coordinates; has_external_url,http://www.nzcupandshow.co.nz/,https://en.wikivoyage.org/wiki/Christchurch
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,do,Hot House Yoga,0.59,candidate,has description; high-value type; has external URL,,,Tomoka State Park,northamerica/unitedstates/florida/ormond_beach/tomoka_state_park,0.387,,,missing_coordinates; has_external_url,http://www.hothouseyogaob.com/,https://en.wikivoyage.org/wiki/Ormond_Beach
australiaandpacific/australia/newsouthwales/coffsharbour,Coffs Harbour,Coffs Harbour,7,16,see,Butterfly House,0.59,candidate,has description; high-value type; has external URL,,,Muttonbird Island,australiaandpacific/australia/newsouthwales/coffsharbour/muttonbird_island,0.312,,,missing_coordinates; has_external_url,http://www.butterflyhouse.com.au/,https://en.wikivoyage.org/wiki/Coffs_Harbour
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Montebello Park,northamerica/canada/ontario/stcatharines/montebello_park,0.381,,,missing_coordinates; has_external_url,https://www.amtrak.com/home,https://en.wikivoyage.org/wiki/St._Catharines
asia/bhutan/thimphu,Thimphu,Thimphu,52,69,do,Bhutan Echoes Literary Festival,0.59,candidate,has description; high-value type; has external URL,,,Bhutan Postal Museum,asia/bhutan/thimphu/bhutan_post_museum,0.471,,,missing_coordinates; has_external_url,https://www.drukyul.org/festival/festival-2025/,https://en.wikivoyage.org/wiki/Thimphu
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Adirondack II,0.59,candidate,has description; high-value type; has external URL,,,International Tennis Hall of Fame,northamerica/unitedstates/rhodeisland/newport/tennis_hall_of_fame,0.304,,,missing_coordinates; has_external_url,http://www.sail-newport.com,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
northamerica/canada/ontario/welland,Welland,Welland,6,29,see,Niagara Transit,0.59,candidate,has description; high-value type; has external URL,,,Main Street Tunnel,northamerica/canada/ontario/welland/main_street_tunnel,0.303,,,missing_coordinates; has_external_url,https://www.niagararegion.ca/transit/routes.aspx,https://en.wikivoyage.org/wiki/Welland
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,see,Yellow Bike Project,0.59,candidate,has description; high-value type; has external URL,,,Ellsworth Kelly's Austin,northamerica/unitedstates/texas/austin/ellsworth_kelly_austin,0.419,,,missing_coordinates; has_external_url,http://www.austinyellowbike.org/,https://en.wikivoyage.org/wiki/Austin
northamerica/turksandcaicosislands/providenciales,Providenciales,Providenciales,7,49,do,Provo Turtle Divers,0.59,candidate,has description; high-value type; has external URL,,,Caicos Wall Diving,northamerica/turksandcaicosislands/providenciales/caicos_wall_diving,0.378,,,missing_coordinates; has_external_url,http://provoturtledivers.com/,https://en.wikivoyage.org/wiki/Providenciales
northamerica/unitedstates/california/centralcoast/oxnard,Oxnard,Oxnard,8,20,do,Oxnard Salsa Festival,0.59,candidate,has description; high-value type; has external URL,,,Hollywood Beach and Silver Strand,northamerica/unitedstates/california/centralcoast/oxnard/hollywood_beach,0.37,,,missing_coordinates; has_external_url,http://www.oxnardsalsafestival.com/,https://en.wikivoyage.org/wiki/Oxnard
northamerica/unitedstates/nevada/lasvegas,Las Vegas,Las Vegas,110,27,see,Las Vegas Visitor Information Center,0.59,candidate,has description; high-value type; has external URL,,,Eiffel Tower Observation Deck,northamerica/unitedstates/nevada/lasvegas/eiffeltowerride,0.492,,,missing_coordinates; has_external_url,http://www.visitlasvegas.co,https://en.wikivoyage.org/wiki/Las_Vegas
europe/italy/sicily/messina,Messina,Messina,6,32,see,Bluferries,0.59,candidate,has description; high-value type; has external URL,,,Orto Botanico dell'Università di Messina,europe/italy/sicily/messina/botanical_garden,0.327,,,missing_coordinates; has_external_url,http://www.bluferries.it/,https://en.wikivoyage.org/wiki/Messina
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,do,Atlanta Celebrates Photography,0.59,candidate,has description; high-value type; has external URL,,,Oakland Cemetery,northamerica/unitedstates/georgia/atlanta/oakland_cemetery,0.522,,,missing_coordinates; has_external_url,http://www.acpinfo.org/,https://en.wikivoyage.org/wiki/Atlanta
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,do,Art and Mind,0.59,candidate,has description; high-value type; has external URL,,,Water Meadows and the Itchen,europe/unitedkingdom/england/south_east/winchester/water_meadows,0.5,,,missing_coordinates; has_external_url,http://artandmind.org.uk/community/,https://en.wikivoyage.org/wiki/Winchester_%28England%29
europe/france/midi/aquitaine,Poitiers,Poitiers,0,11,do,Poitier's Ice Rink,0.59,candidate,has description; high-value type; has external URL,,,,,0.0,,,missing_coordinates; has_external_url,https://www.grandpoitiers.fr/sports/la-patinoire,https://en.wikivoyage.org/wiki/Poitiers
northamerica/unitedstates/indiana/south_bend,South Bend,South Bend,9,77,see,Notre Dame Fighting Irish,0.59,candidate,has description; high-value type; has external URL,,,University of Notre Dame,northamerica/unitedstates/indiana/south_bend/notre_dame_campus,0.408,,,missing_coordinates; has_external_url,https://fightingirish.com/,https://en.wikivoyage.org/wiki/South_Bend
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,do,Living Land Farm,0.59,candidate,has description; high-value type; has external URL,,,Kuang Si Falls,asia/laos/luangprabang/kuang_si_falls,0.4,,,missing_coordinates; has_external_url,https://www.livinglandlao.org/,https://en.wikivoyage.org/wiki/Luang_Prabang
northamerica/mexico/ciudad_obregn,Ciudad Obregón,Ciudad Obregón,3,19,see,Centre for Popular Cultures,0.59,candidate,has description; high-value type; has external URL,,,Municipal Palace,northamerica/mexico/ciudad_obregn/municipal_palace,0.326,,,missing_coordinates; has_external_url,http://www.visitobregon.com/See-And-Do/Interests/Museums-and-Galleries/Centre-for-Popular-Cultures-Ciudad-Obregon.html,https://en.wikivoyage.org/wiki/Ciudad_Obreg%C3%B3n
northamerica/unitedstates/indiana/bloomington,Bloomington,Bloomington (Indiana),13,70,do,Fourth Street Festival of the Arts & Crafts,0.59,candidate,has description; high-value type; has external URL,,,Hoosier National Forest,northamerica/unitedstates/indiana/bloomington/hoosier_national_forest,0.406,,,missing_coordinates; has_external_url,http://www.4thstreet.org/,https://en.wikivoyage.org/wiki/Bloomington_%28Indiana%29
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Greyhound Lines,0.59,candidate,has description; high-value type; has external URL,,,The Tech Interactive,northamerica/unitedstates/california/san_jose/tech_interactive,0.387,,,missing_coordinates; has_external_url,https://www.greyhound.com/en-us/bus-station-893300,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Bands of America Grand Nationals,0.59,candidate,has description; high-value type; has external URL,,,The Children's Museum of Indianapolis,northamerica/unitedstates/indiana/indianapolis/childrens_museum,0.431,,,missing_coordinates; has_external_url,http://www.musicforall.org/,https://en.wikivoyage.org/wiki/Indianapolis
europe/germany/thuringia/weimar,Weimar,Weimar,19,40,do,pèlerinages Kunstfest Weimar,0.59,candidate,has description; high-value type; has external URL,,,In Weimar Early,europe/germany/thuringia/weimar/in_weimar_early,0.419,,,missing_coordinates; has_external_url,http://www.kunstfest-weimar.de/,https://en.wikivoyage.org/wiki/Weimar
