world66_path,wv_name,reason
europe/lithuania/vilnius,Museum of the Centre of Europe,already covered by existing Europos Parkas POI
europe/switzerland/fribourg,Chemins de fer du Kaeserberg,specialist model railway attraction; useful niche but not clearly score 6.0 against Fribourg lineup
europe/finland/rovaniemi,Local Heritage Museum,small seasonal heritage museum; not clearly score 6.0 against Rovaniemi lineup
europe/spain/spanishcostas/altea,Templo del Arcángel Miguel,already covered by existing Russian Orthodox Church of Saint Michael the Archangel POI
europe/sweden/rebro,Wadköping,already covered by existing Wadköping Open-Air Museum POI
europe/hungary/godollo,Aszód,separate town rather than a Gödöllő POI
northamerica/unitedstates/westvirginia/huntington,Ritter Park,already covered by existing Ritter Park and Sunken Gardens POI
northamerica/unitedstates/washington/ellensburg,Olmstead Place State Park,minor farmstead museum outside Ellensburg; not clearly score 6.0 for the parent
asia/china/guangxi/guilin,Museum of Guihai Stele Forest,specialist stele/calligraphy museum; not clearly score 6.0 against Guilin highlights
northamerica/unitedstates/illinois/collinsville,Fairmount Park Racetrack,racetrack/casino lead does not clearly clear the leisure travel threshold for Collinsville
northamerica/unitedstates/northcarolina/raleigh,Lake Johnson Nature Park,pleasant local recreation park but not clearly a score 6.0 Raleigh travel POI
europe/estonia/haapsalu,Museum of the Coastal Swedes,small specialist museum; worthwhile but not clearly score 6.0 against Haapsalu lineup
asia/china/heilongjiang/harbin,Heilongjiang Science and Technology Museum,family science museum does not clearly clear score 6.0 against Harbin priorities
australiaandpacific/australia/queensland/sunshinecoast,Landsborough Museum,small local museum in a broad Sunshine Coast parent; not clearly score 6.0
northamerica/unitedstates/newmexico/losalamos,Pajarito Environmental Education Center,useful nature center but not clearly score 6.0 against Los Alamos and nearby national sights
asia/thailand/chiangmai,Chiang Mai Zoo & Aquarium,visitor value and animal-welfare fit are mixed; not clearly score 6.0 for Chiang Mai
europe/unitedkingdom/england/newcastle_and_north_east/durham,The Story (at Mount Oswald),"new archive/history centre, but not clearly score 6.0 against Durham headline sights"
europe/unitedkingdom/england/norfolk/the_norfolk_broads,Strumpshaw Fen RSPB reserve,assigned parent path does not exist in content tree
asia/china/zhejiang/jiaxing,Jiaxing Museum,general city museum does not clearly clear score 6.0 against Jiaxing priorities
europe/hungary/gyor,Visit the Zoo,generic zoo lead does not clearly clear score 6.0 for Győr
northamerica/unitedstates/kansas/topeka,Kansas Historical Society and Museum,duplicate of existing Kansas Museum of History POI
northamerica/unitedstates/utah/provo,Covey Center for the Arts,calendar-dependent performing arts venue rather than a durable high-value POI
northamerica/unitedstates/newyorkstate/rochester,Artisan Works,quirky gallery complex but not clearly score 6.0 against Rochester museum lineup
northamerica/canada/britishcolumbia/northvancouver,Cates Park,pleasant local waterfront park but not clearly score 6.0 against North Vancouver outdoor lineup
northamerica/unitedstates/ohio/akron,Goodyear Heights Presbyterian Church,local church lead does not clearly clear score 6.0 for Akron
northamerica/unitedstates/alaska/homer,Farmer's Market,seasonal weekly market rather than a durable POI
europe/hungary/miskolc,Miskolc Zoo,generic zoo lead does not clearly clear score 6.0 against Miskolc priorities
asia/china/guangdong/zhongshan,China Radio Museum (Zhongshan),specialist technology museum; not clearly score 6.0 for Zhongshan
northamerica/unitedstates/california/centralvalley/fresno,Island Water Park,commercial seasonal water park; not clearly score 6.0 for Fresno
europe/greece/aegina,Christos Kapralos Museum,small specialist art museum; not clearly score 6.0 against Aegina priorities
northamerica/unitedstates/alabama/montgomery,The Capri Theatre,calendar-dependent neighbourhood cinema rather than a durable score 6.0 Montgomery POI
northamerica/unitedstates/washington/spokane,Finch Arboretum,pleasant arboretum but not clearly score 6.0 against Spokane parks and museums
northamerica/unitedstates/virginia/alexandria,Jones Point Park,useful local riverside park but not clearly score 6.0 against Alexandria lineup
northamerica/unitedstates/northdakota/bismarck,Lewis and Clark Riverboat,commercial cruise operator; not clearly durable score 6.0 Bismarck POI
asia/indonesia/java/bogor,The Jungle Water Adventure,commercial water park; not clearly score 6.0 for Bogor
europe/poland/katowice,Walcownia Museum of Zinc Production,specialist industrial museum; not clearly score 6.0 against Katowice lineup
northamerica/unitedstates/california/long_beach,El Dorado Park West,large local park but not clearly score 6.0 against Long Beach priorities
