world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/georgia/tbilisi,Tbilisi,Tbilisi,60,147,see,U. Japaridze House-Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.70997,44.78182,Elene Akhvlediani House Museum,europe/georgia/tbilisi/elene_akhvlediani_house,0.519,2.925,2.455,needs_external_source,,https://en.wikivoyage.org/wiki/Tbilisi,Niche house-museum in Tbilisi with weak standalone travel value beside existing stronger museums.
europe/austria/hallstatt,Hallstatt,Hallstatt,12,23,see,Panorama View of Lake Hallstatt,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.55396,13.65067,Salzwelten Hallstatt (Salt Mine),europe/austria/hallstatt/hallstatt_salt_mine,0.51,0.85,0.925,needs_external_source,,https://en.wikivoyage.org/wiki/Hallstatt,Generic viewpoint rather than a distinct named POI; overlaps the Hallstatt lakefront experience.
europe/croatia/krka_national_park_1,Krka National Park,Krka National Park,0,24,see,Kistanje,0.89,candidate,has coordinates; has description; high-value type; strong travel term,43.962164,15.98904,,,0.0,,4.882,needs_external_source,,https://en.wikivoyage.org/wiki/Krka_National_Park,"Kistanje is a separate settlement, not a POI under Krka National Park."
asia/india/madhyapradesh/ujjain,Ujjain,Ujjain,8,25,see,Hanuman Naka Mandir,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.174569,75.773013,Vikramaditya Statue and Vikram Teela,asia/india/madhyapradesh/ujjain/vikramaditya_statue,0.364,1.163,1.555,needs_external_source,,https://en.wikivoyage.org/wiki/Ujjain,Local temple/shrine with limited travel value beside Ujjain’s stronger sacred sites.
europe/azerbaijan/nagornokarabakh/stepanakert,Khankendi (Stepanakert),Khankendi,3,18,do,Trailhead to Patara,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.844823,46.755055,Holy Mother of God Cathedral,europe/azerbaijan/nagornokarabakh/stepanakert/holy_mother_cathedral,0.383,3.599,2.978,needs_external_source,,https://en.wikivoyage.org/wiki/Khankendi,Trailhead lead rather than a destination-quality POI.
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,Paintings Gallery or Galereia na Pletnevskom,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.9876,36.2329,Kharkiv Metro,europe/ukraine/kharkiv/kharkiv_metro,0.549,0.451,0.542,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv,Ambiguous/local gallery lead; not enough confidence or broad travel value for Kharkiv.
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,see,St. Jude Thaddeus Shrine,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.6377,122.9544,Great Wok of China,asia/philippines/negrosisland/bacolod/great_wok_of_china,0.341,3.769,4.303,needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod,Local shrine/church lead below threshold for Bacolod.
europe/romania/hunedoara,Hunedoara,Hunedoara (city),6,20,see,Hunedoara Zoo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.74953,22.91566,Restaurant Corvinus,europe/romania/hunedoara/restaurant_corvinus,0.375,2.03,5.591,needs_external_source,,https://en.wikivoyage.org/wiki/Hunedoara_%28city%29,"Local zoo below travel-worthy threshold for Hunedoara, especially beside Corvin Castle context."
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Patriarchal Cathedral,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.42457,26.09782,Parliament Palace,europe/romania/bucharest/parliament_palace,0.474,0.867,1.339,needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest,Duplicate: Bucharest already has an existing Patriarchal Cathedral POI under this destination.
asia/india/andhrapradesh/tirupathi_1,Tirupati,Tirupati,11,16,see,Mukkoti,0.89,candidate,has coordinates; has description; high-value type; strong travel term,13.5972,79.3396,Sri Kalahasti Temple,asia/india/andhrapradesh/tirupathi_1/sri_kalahasti,0.222,42.373,9.292,needs_external_source,,https://en.wikivoyage.org/wiki/Tirupati,Mukkoti is ambiguous and not locatable as a distinct Tirupati POI with confidence.
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Gödöllő train stop,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.59229,19.35861,Royal Palace of Gödöllő,europe/hungary/godollo/royal_palace,0.308,0.925,1.046,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91,"Train stop is transit infrastructure, not a travel-worthy POI."
europe/hungary/godollo,Gödöllő,Gödöllő,3,60,see,Evangelic Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.60095,19.34825,Máriabesnyő Pilgrimage Church,europe/hungary/godollo/mariabesnyő,0.5,3.78,0.284,needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%B6d%C3%B6ll%C5%91,Local church lead below threshold beside stronger Godollo attractions.
australiaandpacific/newzealand/north_island/whanganui_region/newplymouth,New Plymouth,New Plymouth,7,16,see,TSB Bank Bowls New Zealand Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-39.07765,174.08466,Mount Taranaki / Egmont National Park,australiaandpacific/newzealand/north_island/whanganui_region/newplymouth/mount_taranaki,0.353,24.345,2.213,needs_external_source,,https://en.wikivoyage.org/wiki/New_Plymouth,Special-interest bowls museum is too niche for the New Plymouth production slice.
asia/china/hainanisland/sanya,Sanya,Sanya,22,19,see,Paddy Field National Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,18.319954557629693,109.68845970255876,Sanya Phoenix International Airport,asia/china/hainanisland/sanya/sanya_phoenix_airport,0.533,29.172,20.893,needs_external_source,,https://en.wikivoyage.org/wiki/Sanya,Theme/agritourism park is far from Sanya core and weakly corroborated as a durable POI.
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford,Lydford,Lydford,5,10,see,National Trust Toilet,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.62937,-4.12098,Brat Tor,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford/brat_tor,0.345,4.515,3.266,needs_external_source,,https://en.wikivoyage.org/wiki/Lydford,Public toilet listing; non-POI.
europe/macedonia/bitola,Bitola,Bitola,6,65,see,Church of Saint Nedela,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.040556,21.348611,Širok Sokak,europe/macedonia/bitola/sirok_sokak,0.312,1.878,1.834,needs_external_source,,https://en.wikivoyage.org/wiki/Bitola,Local church lead below threshold for Bitola.
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Sign of Walkway,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-43.581563,172.635438,Smash Palace,australiaandpacific/newzealand/canterbury/christchurch/smash_palace,0.37,5.566,5.5,needs_external_source,,https://en.wikivoyage.org/wiki/Christchurch,"Vague walkway lead, not a distinct POI with high-confidence placement under Christchurch."
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,do,Fireworks,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-4.0394,39.7149,Fort Jesus,africa/kenya/thecoast/mombasa/fort_jesus,0.421,4.692,5.437,needs_external_source,,https://en.wikivoyage.org/wiki/Mombasa,Generic event/nightlife listing rather than a stable POI.
