world66_path,wv_name,reason
europe/italy/emiliaromagna/ferrara,Chiesa di San Cristoforo alla Certosa,Specialized cemetery church with limited evidence of independent traveller value beyond Ferrara's stronger existing sights.
asia/southkorea/dae_gu,Palgongsan Mountain Maple Festival,Seasonal mountain festival far outside central Daegu; better treated as an event/day-trip lead than a durable city POI.
asia/china/guangxi/liuzhou,Liuzhou Expo Garden,Large expo garden is far from the parent core and does not clearly clear the traveller-value threshold against Liuzhou's stronger sights.
northamerica/unitedstates/missouri/jeffersoncity,National Cemetery,Respectful civic/memorial site but not a strong visitor POI for Jefferson City compared with existing capital and museum sights.
europe/hungary/veszprem,Parish of the Saint Margaret of the Árpád dynasty,Local parish church with limited independent travel draw for Veszprem.
northamerica/canada/newfoundland/stjohns,Bell Island Community Museum,Located on Bell Island across the water from St Johns; wrong-parent/day-trip lead rather than a St Johns POI.
northamerica/unitedstates/ohio/sandusky,Cooke-Dorn House,"Did not clearly clear score 6.0 for the assigned parent after duplicate, distance, and traveller-value review."
asia/srilanka/unawatuna,Turtle Hatchery,Generic turtle hatchery lead away from Unawatuna; external evidence was not strong enough to clear score 6.0 as a destination POI.
europe/romania/bucharest,“Dimitrie Leonida” Technology Museum,Duplicate/alias of existing Dimitrie Leonida technical museum POI in Bucharest.
europe/hungary/esztergom,St. Peter and Paul Church of Inner City Parish,Local parish church with limited independent traveller draw in Esztergom.
europe/hungary/satoraljaujhely,Hollóháza Porcelain Industrial History Exhibition Site,Far from Satoraljaujhely and better treated under Hollohaza rather than the assigned parent.
northamerica/unitedstates/ohio/akron,First United Methodist Church of Akron,Active local church with insufficient evidence of independent visitor value at score 6.0 or higher.
europe/france/aquitaine/saintes,Amphithéâtre gallo-Romain,Duplicate/alias of existing Gallo-Roman amphitheatre POI in Saintes.
europe/hungary/mor,Bodajk,Separate nearby town/sanctuary area rather than a POI in Mor; wrong-parent lead.
asia/china/shandong_province/dezhou,Dezhou Museum,General city museum with limited corroborated traveller signal and weaker fit than existing Dezhou content.
europe/armenia/alaverdi,Alaverdi guides,"Commercial guiding service, not a durable public POI."
asia/philippines/san_juan,Music Museum,Event venue/commercial performance space rather than a strong San Juan things-to-do POI.
northamerica/unitedstates/montana/missoula,Missoula Paddleheads,Minor-league sports team/stadium experience does not clearly clear score 6.0 for Missoula as a durable POI.
europe/slovenia/ljubljana,Water City of Atlantis,Commercial water-park/spa listing; not strong enough as a Ljubljana things-to-do POI.
