world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/mexico/islamujeres,Isla Mujeres,Isla Mujeres,9,31,do,Beach Volleyball,0.59,candidate,has description; high-value type; strong travel term,,,Sunset Bar,northamerica/mexico/islamujeres/sunset_bar,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Isla_Mujeres,candidate score 0.59 is below the 6.0 POI threshold; generic activity or tour listing rather than a durable mapped attraction
europe/italy/abruzzo/chieti,Chieti,Chieti,7,22,see,San Giustino,0.59,candidate,has description; high-value type; strong travel term,,,Corso Marrucino,europe/italy/abruzzo/chieti/corso_marrucino,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chieti,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and needs corroborating external source
europe/russia/moscow,Moscow,Moscow,32,143,see,Syria,0.59,candidate,has description; high-value type; strong travel term,,,Okhotny Ryad,europe/russia/moscow/ohotniy_riad,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.59 is below the 6.0 POI threshold; vague or unlocatable listing without enough POI-specific evidence
asia/china/sichuanprovince/kangding,Kangding,Kangding,4,16,see,Anjue Temple,0.59,candidate,has description; high-value type; strong travel term,,,Nanwu Si Monastery,asia/china/sichuanprovince/kangding/nanwu_monastery,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kangding,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and needs corroborating external source
northamerica/unitedstates/newmexico/magdalena,Magdalena,Magdalena,5,9,do,Visitor's Center,0.59,candidate,has description; high-value type; strong travel term,,,Main Street Historic District,northamerica/unitedstates/newmexico/magdalena/main_street_historic_district,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Magdalena,candidate score 0.59 is below the 6.0 POI threshold; vague or unlocatable listing without enough POI-specific evidence
asia/china/sichuanprovince/langmusi,Langmusi,Langmusi,4,7,see,Hui Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Sertri Gompa and Sky Burial Site (Gansu Side),asia/china/sichuanprovince/langmusi/sertri_gompa,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Langmusi,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and needs corroborating external source
australiaandpacific/australia/newsouthwales/armidale,Armidale,Armidale,7,9,see,Central Park,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral Rock National Park,australiaandpacific/australia/newsouthwales/armidale/cathedral_rock_national_park,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Armidale,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and needs corroborating external source
southamerica/brazil/corumb,Corumbá,Corumbá,4,27,see,Vasques & Sons House,0.59,candidate,has description; high-value type; strong travel term,,,Pantanal Boat Trips,southamerica/brazil/corumb/pantanal_boat_trips,0.293,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Corumb%C3%A1,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and needs corroborating external source
europe/france/frejus,Fréjus,Fréjus,4,15,see,Saint-Léonce Cathedral of Fréjus,0.59,candidate,has description; high-value type; strong travel term,,,Fréjus Cathedral,europe/france/frejus/frejus_cathedral,0.458,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fr%C3%A9jus,candidate score 0.59 is below the 6.0 POI threshold; duplicates or is already covered by an existing World66 POI
europe/greece/crete/agios_nikolaos,Agios Nikolaos,Agios Nikolaos,7,10,see,Lato,0.59,candidate,has description; high-value type; strong travel term,,,Ancient Lato,europe/greece/crete/agios_nikolaos/lato,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Agios_Nikolaos,candidate score 0.59 is below the 6.0 POI threshold; duplicates or is already covered by an existing World66 POI
