world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/germany/lowersaxony/goslar,Goslar,Goslar,13,36,see,Haus am Steinberg,0.59,candidate,has description; high-value type; has external URL,,,Mönchehaus Museum,europe/germany/lowersaxony/goslar/moenchehaus_museum,0.471,,,missing_coordinates; has_external_url,http://www.hausamsteinberg.de,https://en.wikivoyage.org/wiki/Goslar,Accommodation listing; hotels/accommodation are excluded.
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,see,El Salvador,0.59,candidate,has description; high-value type; has external URL,,,Estadio Akron (Chivas),northamerica/mexico/guadalajara/estadio_akron,0.476,,,missing_coordinates; has_external_url,https://rree.gob.sv/servicios-consulares/,https://en.wikivoyage.org/wiki/Guadalajara,Consulate listing; not a Guadalajara POI.
northamerica/unitedstates/newjersey/lambertville,Lambertville,Lambertville,4,9,do,Riverside Symphonia,0.59,candidate,has description; high-value type; has external URL,,,Lambertville Historical Society,northamerica/unitedstates/newjersey/lambertville/lambertville_historical_society,0.32,,,missing_coordinates; has_external_url,http://www.riversidesymphonia.org,https://en.wikivoyage.org/wiki/Lambertville,Local symphony/event organization; not a permanent Lambertville POI.
australiaandpacific/newzealand/south_island/otago/dunedin,Dunedin,Dunedin,15,102,see,Orbus,0.59,candidate,has description; high-value type; has external URL,,,Otago Museum,australiaandpacific/newzealand/south_island/otago/dunedin/otago_museum,0.353,,,missing_coordinates; has_external_url,https://www.orc.govt.nz/public-transport/dunedin-buses/check-your-timetables/1-palmerston-city,https://en.wikivoyage.org/wiki/Dunedin,Public bus service listing; transport-only and not a Dunedin POI.
australiaandpacific/newzealand/palmerstonnorth,Palmerston North,Palmerston North,13,32,do,Ruahine AFC,0.59,candidate,has description; high-value type; has external URL,,,The Square,australiaandpacific/newzealand/palmerstonnorth/the_square,0.353,,,missing_coordinates; has_external_url,http://ruahineafc.co.nz,https://en.wikivoyage.org/wiki/Palmerston_North,Football club listing; ordinary local sports organization and not a Palmerston North POI.
northamerica/canada/britishcolumbia/osoyoos,Osoyoos,Osoyoos,7,30,do,Annual Cherry Fiesta,0.59,candidate,has description; high-value type; has external URL,,,Nk'Mip Desert Cultural Centre,northamerica/canada/britishcolumbia/osoyoos/nkmip_desert_cultural_centre,0.327,,,missing_coordinates; has_external_url,https://osoyoosfestivalsociety.ca/,https://en.wikivoyage.org/wiki/Osoyoos,Annual festival; event-only and not a permanent Osoyoos POI.
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,GO Transit,0.59,candidate,has description; high-value type; has external URL,,,The Toronto Transit Commission,northamerica/canada/ontario/toronto/the_toronto_transi,0.5,,,missing_coordinates; has_external_url,https://www.gotransit.com/,https://en.wikivoyage.org/wiki/Toronto,Regional transit agency; transport-only and not a Toronto POI.
europe/switzerland/rapperswil,Rapperswil,Rapperswil,4,20,do,Boat trip,0.59,candidate,has description; high-value type; has external URL,,,Holzbrücke,europe/switzerland/rapperswil/holzbrucke,0.211,,,missing_coordinates; has_external_url,http://www.zsg.ch,https://en.wikivoyage.org/wiki/Rapperswil,Boat service/operator; transport-only and not a Rapperswil POI.
northamerica/canada/ontario/kenora,Kenora,Kenora,11,16,see,Kasper Bus,0.59,candidate,has description; high-value type; has external URL,,,Kenora Harbourfront,northamerica/canada/ontario/kenora/harbourfront,0.414,,,missing_coordinates; has_external_url,https://gokasper.com,https://en.wikivoyage.org/wiki/Kenora,Bus company listing; transport-only and not a Kenora POI.
northamerica/unitedstates/california/centralcoast/solvang,Solvang,Solvang,8,18,do,Grapeline Wine Country Shuttle,0.59,candidate,has description; high-value type; has external URL,,,Santa Ynez Valley Wine Tasting,northamerica/unitedstates/california/centralcoast/solvang/santa_ynez_wine_tasting,0.4,,,missing_coordinates; has_external_url,http://www.gogrape.com,https://en.wikivoyage.org/wiki/Solvang,"Wine shuttle/tour operator; ordinary commercial operator, not a Solvang POI."
northamerica/unitedstates/tennessee/johnson_city,Johnson City,Johnson City (Tennessee),7,25,do,Tiebreakers,0.59,candidate,has description; high-value type; has external URL,,,Barrel and Bones,northamerica/unitedstates/tennessee/johnson_city/barrel_and_bones,0.444,,,missing_coordinates; has_external_url,https://tiebreakers.com/,https://en.wikivoyage.org/wiki/Johnson_City_%28Tennessee%29,Restaurant/entertainment business; ordinary commercial venue and below score 6.0 for Johnson City.
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,see,Kayakers Cove,0.59,candidate,has description; high-value type; has external URL,,,Alaska SeaLife Center,northamerica/unitedstates/alaska/seward/alaska_sealife_center,0.353,,,missing_coordinates; has_external_url,http://www.kayakerscove.com/,https://en.wikivoyage.org/wiki/Seward,"Remote lodging/kayak operator; accommodation/commercial operator, not a Seward POI."
europe/austria/vienna,Vienna,Vienna,67,134,see,Student Agency,0.59,candidate,has description; high-value type; has external URL,,,Klosterneuburg Abbey,europe/austria/vienna/klosterneuburg_abb,0.471,,,missing_coordinates; has_external_url,http://www.studentagency.eu/,https://en.wikivoyage.org/wiki/Vienna,Bus company listing; transport-only and not a Vienna POI.
europe/estonia/tallinn,Tallinn,Tallinn,57,163,do,Tallinn International Festival Jazzkaar,0.59,candidate,has description; high-value type; has external URL,,,Tallinn Botanic Garden,europe/estonia/tallinn/tallinn_botanic_garden,0.459,,,missing_coordinates; has_external_url,http://jazzkaar.ee/en/,https://en.wikivoyage.org/wiki/Tallinn,Jazz festival; event-only and not a permanent Tallinn POI.
asia/thailand/kohtao,Koh Tao,Ko Tao,8,73,do,Seashell Dive Centre,0.59,candidate,has description; high-value type; has external URL,,,Scuba Diving,asia/thailand/kohtao/diving,0.438,,,missing_coordinates; has_external_url,http://tour.sawadee.com/samuinet/diving/tao_seashell.html,https://en.wikivoyage.org/wiki/Ko_Tao,Dive centre/operator; ordinary commercial operator and not a Ko Tao POI.
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,Queen City Ghostwalk,0.59,candidate,has description; high-value type; has external URL,,,City Market / Onion River Co-op,northamerica/unitedstates/vermont/burlington/city_market,0.286,,,missing_coordinates; has_external_url,http://www.queencityghostwalk.com,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,Ghost tour company; ordinary commercial operator and below score 6.0 for Burlington.
australiaandpacific/australia/northernterritory/alicesprings,Alice Springs,Alice Springs,14,29,see,Henley On Todd Regatta,0.59,candidate,has description; high-value type; has external URL,,,Telegraph Station Historical Reserve,australiaandpacific/australia/northernterritory/alicesprings/telegraph_station,0.414,,,missing_coordinates; has_external_url,http://henleyontodd.com.au/,https://en.wikivoyage.org/wiki/Alice_Springs,Regatta/festival event; event-only and not a permanent Alice Springs POI.
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,do,Inside Out LGBT Film & Video Festival,0.59,candidate,has description; high-value type; has external URL,,,Elgin and Winter Garden Theatre Centre,northamerica/canada/ontario/toronto/winter_garden_theatre,0.39,,,missing_coordinates; has_external_url,https://insideout.ca/,https://en.wikivoyage.org/wiki/Toronto,Film festival; event-only and not a permanent Toronto POI.
