world66_path,wv_name,reason
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Cotswold Water Park,broad regional attraction well outside Swindon; not a clear flat city POI for this parent
africa/nigeria/kaduna,"National Commission for Museums and Monuments, Kaduna",appears to be an administrative office/business listing rather than a visitor-facing museum POI
europe/unitedkingdom/england/eastern_england/greatyarmouth,Cycling,"generic activity/route lead, not a durable named POI"
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon Museum,duplicate/alias of existing Museum & Art Swindon POI
northamerica/unitedstates/ohio/akron,St. Anthony of Padua Church,local parish church with limited independent visitor draw for Akron compared with existing stronger POIs
asia/kazakhstan/astana,Duman,duplicate of existing Duman Entertainment Centre POI
northamerica/unitedstates/florida/marcoisland,Marco Island Movie Theater,ordinary commercial cinema; does not clearly clear the score-6 travel threshold
northamerica/dominicanrepublic/santodomingo,Dr. Rafael Ma. Moscoso National Botanical Garden,duplicate/alias of existing Jardín Botánico Nacional POI
northamerica/canada/quebec/granby,Verger Champetre - Gite & Compagnie,farm-stay/commercial orchard lead with accommodation framing; not a clear core Granby POI
asia/china/yunnanprovince/tengchong,Western Yunnan Memorial to War of Resistance Against Japan,appears already represented by the National Cemetery and Tengchong Museum complex
asia/japan/honshu/sendai,The Museum of the Forest of Depths of the Earth,duplicate/alias of existing Tomizawa Site Museum (Underground Forest) POI
southamerica/brazil/manaus,Santuário Nossa Senhora de Fátima,local parish sanctuary with limited evidence of score-6 visitor value for Manaus
