world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/california/centralcoast/oxnard,Oxnard,Oxnard,8,20,do,Heritage Square Summer Concerts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Channel Islands Harbor,northamerica/unitedstates/california/centralcoast/oxnard/channel_islands_harbor,0.34,,,missing_coordinates; has_external_url,http://www.heritagesquareoxnard.com/concerts.html,https://en.wikivoyage.org/wiki/Oxnard,event-only concert series rather than a durable POI
europe/france/alpes/lyon,Lyon,Lyon,21,156,do,Théâtre le Guignol de Lyon,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ancient Roman Theatres of Lyon,europe/france/alpes/lyon/roman_theatres,0.49,,,missing_coordinates; has_external_url,http://www.guignol-lyon.com,https://en.wikivoyage.org/wiki/Lyon,performance venue below threshold for Lyon
northamerica/canada/ontario/niagara_on_the_lake,Niagara-on-the-Lake,Niagara-on-the-Lake,6,58,see,Music Niagara,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Niagara Apothecary,northamerica/canada/ontario/niagara_on_the_lake/niagara_apothecary,0.452,,,missing_coordinates; has_external_url,http://www.musicniagara.org,https://en.wikivoyage.org/wiki/Niagara-on-the-Lake,event series/festival rather than a durable POI
northamerica/unitedstates/florida/delray_beach,Delray Beach,Delray Beach,17,40,do,Lake Ida Dog Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Blue Anchor,northamerica/unitedstates/florida/delray_beach/blue_anchor,0.429,,,missing_coordinates; has_external_url,http://www.mydelraybeach.com/Delray/Departments/Parks+and+Recreation/Facilities/Dog+Park/Lake+Ida+Dog+Park.htm,https://en.wikivoyage.org/wiki/Delray_Beach,local dog park below threshold for Delray Beach
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,do,Last Laugh Comedy Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.154,,,missing_coordinates; has_external_url,https://www.lastlaughcomedy.co.uk/,https://en.wikivoyage.org/wiki/Sheffield,event-only festival rather than a durable POI
northamerica/unitedstates/ohio/portsmouth,Portsmouth,Portsmouth (Ohio),6,25,see,First Presbyterian Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Southern Ohio Museum,northamerica/unitedstates/ohio/portsmouth/southern_ohio_museum,0.356,,,missing_coordinates; has_external_url,https://www.firstpresportsmouthoh.com,https://en.wikivoyage.org/wiki/Portsmouth_%28Ohio%29,local church below threshold for Portsmouth
europe/slovakia/bratislava,Bratislava,Bratislava,51,87,see,"Jewish Cemetery, Jewish Community Museum and Bratislava Synagogue",0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Jewish Culture,europe/slovakia/bratislava/museum_of_jewish_culture,0.341,,,missing_coordinates; has_external_url,http://www.synagogue.sk,https://en.wikivoyage.org/wiki/Bratislava,bundled listing overlaps existing Jewish culture coverage and is not cleanly separable
asia/japan/honshu/nagano,Nagano,Nagano,6,15,do,Binzuru,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Matsushiro,asia/japan/honshu/nagano/matsushiro,0.235,,,missing_coordinates; has_external_url,http://www.binzuru.info/,https://en.wikivoyage.org/wiki/Nagano,event-only festival rather than a durable POI
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,XO Live,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hovenring,europe/netherlands/eindhoven/hovenring,0.375,,,missing_coordinates; has_external_url,http://xofestival.nl/en/home,https://en.wikivoyage.org/wiki/Eindhoven,event/commercial entertainment listing below threshold
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Wreaths Across America,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,United States Marshals Museum,northamerica/unitedstates/arkansas/fortsmith/us_marshals_museum,0.471,,,missing_coordinates; has_external_url,http://www.christmashonors.org/,https://en.wikivoyage.org/wiki/Fort_Smith,event-only ceremony rather than a durable POI
europe/france/midi/provence/arles,Arles,Arles,12,22,see,Arles Patrimoine,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Musée de l'Arles antique,europe/france/midi/provence/arles/musee_de_larles_antique,0.486,,,missing_coordinates; has_external_url,http://www.patrimoine.ville-arles.fr,https://en.wikivoyage.org/wiki/Arles,"heritage office/umbrella website, not a POI"
northamerica/unitedstates/florida/ormond_beach,Ormond Beach,Ormond Beach,5,44,see,Highbridge Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tomoka State Park,northamerica/unitedstates/florida/ormond_beach/tomoka_state_park,0.375,,,missing_coordinates; has_external_url,http://www.ormondbeach.org/Facilities/Facility/Details/28,https://en.wikivoyage.org/wiki/Ormond_Beach,local park below threshold for Ormond Beach
asia/thailand/kohtao,Koh Tao,Ko Tao,8,73,do,Carabao Diving Center & Resort,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Scuba Diving,asia/thailand/kohtao/diving,0.455,,,missing_coordinates; has_external_url,http://carabaodivingkohtao.com/,https://en.wikivoyage.org/wiki/Ko_Tao,"commercial dive/resort operator, not a POI"
europe/netherlands/amsterdam,Amsterdam,Amsterdam,153,66,see,English Reformed Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Cornelis Schuytstraat,europe/netherlands/amsterdam/cornelis_schuytstraat,0.409,,,missing_coordinates; has_external_url,http://www.ercadam.nl,https://en.wikivoyage.org/wiki/Amsterdam,interesting church but below threshold for Amsterdam
australiaandpacific/australia/tasmania/sorell,Sorell,Sorell,7,14,see,The Waterway Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sorell Barracks,australiaandpacific/australia/tasmania/sorell/sorell_barracks,0.276,,,missing_coordinates; has_external_url,https://www.sorell.tas.gov.au/download/publications_-_all/brochures/Sorell-Heritage-Walk-Brochure-2016-Web.pdf,https://en.wikivoyage.org/wiki/Sorell,local trail brochure below threshold for Sorell
northamerica/canada/quebec/montreal,Montreal,Montreal,50,59,do,Shakespeare-in-the-Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Place des Arts,northamerica/canada/quebec/montreal/place_des_arts,0.414,,,missing_coordinates; has_external_url,http://www.repercussiontheatre.com,https://en.wikivoyage.org/wiki/Montreal,event-only theatre programme rather than a durable POI
northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh,Plattsburgh,Plattsburgh,11,30,see,Northcountry Planetarium,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Battle of Plattsburgh Museum,northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh/battle_of_plattsburgh_museum,0.385,,,missing_coordinates; has_external_url,http://web.plattsburgh.edu/academics/planetarium/,https://en.wikivoyage.org/wiki/Plattsburgh,small campus planetarium below threshold for Plattsburgh
asia/china/jiangxi/ruijin,Ruijin,Ruijin,4,24,see,PRC Cradle Tourism Area,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Luohanyan Scenic Area,asia/china/jiangxi/ruijin/luohanyan_scenic_area,0.364,,,missing_coordinates; has_external_url,http://www.rjjng.com.cn/,https://en.wikivoyage.org/wiki/Ruijin,large/unclear umbrella area; insufficient confidence for a precise POI file
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,see,BestBus,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Newseum,northamerica/unitedstates/washingtondc/newseum,0.429,,,missing_coordinates; has_external_url,https://www.bestbus.com/,https://en.wikivoyage.org/wiki/Washington%2C_D.C.,"transport-only service, not a see/do POI"
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,do,The Burlington Discover Jazz Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burlington Waterfront and Bike Path,northamerica/unitedstates/vermont/burlington/waterfront_park,0.471,,,missing_coordinates; has_external_url,http://www.discoverjazz.com,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,event-only festival rather than a durable POI
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,do,Paniyiri Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fortitude Valley,australiaandpacific/australia/queensland/brisbane/fortitude_valley,0.364,,,missing_coordinates; has_external_url,http://www.paniyiri.com/,https://en.wikivoyage.org/wiki/Brisbane,event-only festival rather than a durable POI
northamerica/unitedstates/alaska/anchorage,Anchorage,Anchorage,23,84,see,Interior Alaska Bus Line,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Humpy's Great Alaskan Alehouse,northamerica/unitedstates/alaska/anchorage/humpys,0.444,,,missing_coordinates; has_external_url,http://interioralaskabusline.com/,https://en.wikivoyage.org/wiki/Anchorage,"transport-only service, not a see/do POI"
northamerica/unitedstates/california/losangeles,Los Angeles,Los Angeles,71,77,see,"""Cabin""",0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chinatown,northamerica/unitedstates/california/losangeles/chinatown,0.429,,,missing_coordinates; has_external_url,https://www.ridecabin.com/,https://en.wikivoyage.org/wiki/Los_Angeles,"transport/accommodation-style bus service, not a POI"
northamerica/canada/quebec/quebeccity,Québec City,Quebec City,39,125,do,Winter Carnival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Carnaval de Québec,northamerica/canada/quebec/quebeccity/carnaval_de_quebec,0.467,,,missing_coordinates; has_external_url,http://www.carnaval.qc.ca/,https://en.wikivoyage.org/wiki/Quebec_City,duplicate of existing Carnaval de Québec POI
