world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/virginia/roanoke,Roanoke,Roanoke,16,22,see,Berglund Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.2802,-79.9357,Roanoke Star,northamerica/unitedstates/virginia/roanoke/roanoke_star,0.37,2.678,1.144,has_external_url,http://www.theberglundcenter.com/,https://en.wikivoyage.org/wiki/Roanoke,Arena and event center is schedule-dependent and below Roanoke's existing POI threshold.
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,see,Fresno City College,0.89,candidate,has coordinates; has description; high-value type; has external URL,36.767417,-119.797861,Old Fresno Water Tower,northamerica/unitedstates/california/centralvalley/fresno/old_fresno_water_tower,0.488,3.289,3.326,has_external_url,http://www.fresnocitycollege.edu,https://en.wikivoyage.org/wiki/Fresno,Community college campus is not a travel-worthy POI.
europe/portugal/almada,Almada,Almada,12,5,do,Caparica Surf Academy,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.61809672520674,-9.218314842329036,Castle of Almada,europe/portugal/almada/castle_of_almada,0.432,9.183,8.948,has_external_url,https://caparicasurfacademy.com,https://en.wikivoyage.org/wiki/Almada,Commercial surf school is an operator and the coordinates are far from Almada center.
europe/hungary/sopron,Sopron,Sopron,9,234,see,Former Jesuit konviktus; dwelling house,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.68582,16.59175,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.531,0.469,0.787,has_external_url,http://muemlekem.hu/muemlek?id=4901,https://en.wikivoyage.org/wiki/Sopron,Minor protected building is below Sopron's 6.0 threshold as a standalone POI.
europe/france/centre/lemans,Le Mans,Le Mans,13,31,do,Piscine Municipale d'Allones,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.9619,0.1646,Cité Plantagenêt (Old Town),europe/france/centre/lemans/cite_plantagenet,0.372,5.73,5.596,has_external_url,http://allonnes.fr/allonnes-a-vivre/se-divertir/le-sport/259-la-piscine.html,https://en.wikivoyage.org/wiki/Le_Mans,Municipal swimming pool outside Le Mans is a local facility rather than a visitor POI.
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,Laser Lander,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.74096,-0.66315,Arch of Germanicus,europe/france/aquitaine/saintes/arch_of_germanicus,0.333,2.706,2.457,has_external_url,http://www.laserlander.com/,https://en.wikivoyage.org/wiki/Saintes,Laser tag business is local entertainment and below Saintes travel threshold.
asia/japan/honshu/okayama,Okayama,Okayama,9,83,do,Inariyama Kenko Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.70546,133.831818,Okayama Orient Museum,asia/japan/honshu/okayama/okayama_orient_museum,0.512,9.973,9.913,has_external_url,https://www.okayama-spa.jp/inariyama/,https://en.wikivoyage.org/wiki/Okayama,Bath and health center is a leisure facility below Okayama POI threshold.
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,Arafura Games,0.89,candidate,has coordinates; has description; high-value type; has external URL,-12.399167,130.887222,Furlanos,australiaandpacific/australia/northernterritory/darwin/furlanos,0.476,6.075,8.459,has_external_url,http://www.arafuragames.nt.gov.au/,https://en.wikivoyage.org/wiki/Darwin,Multi-sport event has uncertain continuity and is too date-specific for a durable POI.
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Seadoo Safari,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.456585,103.771145,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.286,2.229,0.716,has_external_url,https://seadoosafarijb.com/,https://en.wikivoyage.org/wiki/Johor_Bahru,Jet-ski tour operator is a commercial activity rather than a stable POI.
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,FunQuest,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.371943,-79.209092,Monument Terrace,northamerica/unitedstates/virginia/lynchburg/monument_terrace,0.333,7.336,7.516,has_external_url,https://funquestfun.com/,https://en.wikivoyage.org/wiki/Lynchburg,Family entertainment center is a local business below Lynchburg travel threshold.
northamerica/unitedstates/ohio/kent,Kent,Kent (Ohio),8,75,see,Advanced Materials and Liquid Crystal Institute,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1443,-81.3399,East Main Street Restaurants,northamerica/unitedstates/ohio/kent/east_main_restaurants,0.347,1.744,1.834,has_external_url,https://www.kent.edu/amlci,https://en.wikivoyage.org/wiki/Kent_%28Ohio%29,University research institute is not a visitor-facing POI.
europe/spain/catalonia/platjadaro,Platja d'Aro,Platja d'Aro,5,21,do,Pitch & Putt Platja d'Aro,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.81977,3.05383,Castell d'Aro,europe/spain/catalonia/platjadaro/castell_daro,0.5,1.982,1.249,has_external_url,http://www.pitchdaro.com,https://en.wikivoyage.org/wiki/Platja_d%27Aro,Golf facility is local recreation and below the destination's travel POI threshold.
europe/norway/moss,Moss,Moss,5,13,see,Bastø Fosen,0.89,candidate,has coordinates; has description; high-value type; has external URL,59.4300568,10.6542896,Moss Jernverk (Ironworks),europe/norway/moss/moss_jernverk,0.348,1.35,1.738,has_external_url,http://www.basto-fosen.no,https://en.wikivoyage.org/wiki/Moss,Ferry operator is transport infrastructure rather than a see/do POI.
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury,Bury St Edmunds,Bury St Edmunds,4,33,see,Ickworth House and Parks,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.221802,0.65788,Moyse's Hall Museum,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury/moyses_hall,0.233,4.638,4.594,has_external_url,https://www.nationaltrust.org.uk/ickworth/,https://en.wikivoyage.org/wiki/Bury_St_Edmunds,World66 path appears to be the wrong Bury destination for Bury St Edmunds so skipped to avoid misfiling.
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Whispering Hills,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.73699,-85.97618,Hotel Tango Distillery,northamerica/unitedstates/indiana/indianapolis/hotel_tango,0.421,14.327,15.962,has_external_url,http://www.sahmgolf.com/about-us/whispering-hills-douglass-gc/,https://en.wikivoyage.org/wiki/Indianapolis,Golf course is far from central Indianapolis and weak as a travel POI.
asia/cyprus/larnaca,Larnaca,Larnaca,12,26,do,Windsurf City,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.892246,33.638505,Larnaca Castle,asia/cyprus/larnaca/larnacacastle,0.296,2.006,3.742,has_external_url,https://www.windsurfcitycyprus.com/en/,https://en.wikivoyage.org/wiki/Larnaca,Windsurf school is a commercial operator and Larnaca beach activity is already better handled broadly.
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Pakistan,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.8456,-4.2896,The East End,europe/unitedkingdom/scotland/glasgow/east_end,0.5,4.468,3.008,has_external_url,https://www.phclondon.org/consulates/#glasgow,https://en.wikivoyage.org/wiki/Glasgow,Consulate listing is a practical office and not a travel POI.
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Klinikum Kassel,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.32806,9.50847,GRIMMWELT,europe/germany/hessen/kassel/grimmwelt,0.333,2.21,1.552,has_external_url,http://www.klinikum-kassel.de/,https://en.wikivoyage.org/wiki/Kassel,Hospital is a practical service and not a visitor attraction.
europe/netherlands/thehague,The Hague,The Hague,16,165,do,Boat trips The Hague,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.0749,4.32012,Mauritshuis,europe/netherlands/thehague/mauritshuis,0.444,0.637,3.447,has_external_url,https://www.salonbootdenhaag.nl/,https://en.wikivoyage.org/wiki/The_Hague,Tour operator listing is not a fixed POI and canal trips are better treated as activity context.
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Happy Hoof Riding Ranch,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.512042,103.806888,KSL City Shopping Mall,asia/malaysia/johorbahru/ksl_city_shopping,0.4,7.887,7.591,has_external_url,https://www.facebook.com/HappyHoofRidingRanch/,https://en.wikivoyage.org/wiki/Johor_Bahru,Horse-riding business is operator-like and below Johor Bahru 6.0 POI threshold.
northamerica/canada/britishcolumbia/princegeorge,Prince George,Prince George,5,41,see,The PG Northern Pride Centre Society,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.893,-122.8131,Exploration Place Museum and Science Centre,northamerica/canada/britishcolumbia/princegeorge/exploration_place,0.427,5.062,4.956,has_external_url,https://www.facebook.com/northernpridecentre/,https://en.wikivoyage.org/wiki/Prince_George,Community organization is important locally but not a visitor POI.
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Ekspodonbass Exhibition center,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.02524,37.80487,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.542,2.229,1.049,has_external_url,http://www.expoua.com,https://en.wikivoyage.org/wiki/Donetsk,Exhibition center status and visitor practicality are uncertain given current conditions in Donetsk.
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,do,Qi River Cruises,0.89,candidate,has coordinates; has description; high-value type; has external URL,22.52067,113.35974,Qijiang River walk,asia/china/guangdong/zhongshan/qijiang_river_walk,0.529,2.544,3.411,has_external_url,http://www.qijiangyou.com/,https://en.wikivoyage.org/wiki/Zhongshan,River cruise is an operator/activity and overlaps existing Qijiang River walk coverage.
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,College of the Holy Cross,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.239167,-71.808333,Coney Island Hot Dogs,northamerica/unitedstates/massachusetts/worcester/coneys_famous,0.476,1.9,2.655,has_external_url,http://www.holycross.edu/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29,College campus is not strong enough as a standalone Worcester visitor POI.
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Pleasant Run,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.77711,-86.05932,Bluebeard,northamerica/unitedstates/indiana/indianapolis/bluebeard,0.381,7.087,8.524,has_external_url,http://www.pleasantrungolf.com,https://en.wikivoyage.org/wiki/Indianapolis,Golf course is a local recreation facility and below Indianapolis travel threshold.
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Ice Sport Centre Eindhoven,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.41572,5.47179,Piazza Centre,europe/netherlands/eindhoven/piazza,0.41,2.906,2.881,has_external_url,http://www.ijssportcentrum.nl/,https://en.wikivoyage.org/wiki/Eindhoven,Ice rink is a local sports facility rather than a travel-worthy POI.
