world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/saudiarabia/jeddah,Jeddah,Jeddah,18,54,see,Jeddah Regional Museum of Archaeology and Ethnography,0.59,candidate,has description; high-value type; strong travel term,,,Jeddah Corniche,asia/saudiarabia/jeddah/jeddah_corniche,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jeddah,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/amorgos,Amorgos,Amorgos,5,9,see,Navagio Olympia,0.59,candidate,has description; high-value type; strong travel term,,,Katapola,europe/greece/amorgos/katapola,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Amorgos,candidate score 0.59 is below the 6.0 POI threshold
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Honnemaradu,0.59,candidate,has description; high-value type; strong travel term,,,Kodachadri,asia/india/karnataka/shimoga/kodachadri,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/catalonia/olot,Olot,Olot,13,10,see,Montsacopa Volcano Nature Reserve,0.59,candidate,has description; high-value type; strong travel term,,,Zona Volcànica de la Garrotxa,europe/spain/catalonia/olot/zona_volcanica_garrotxa,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Olot,candidate score 0.59 is below the 6.0 POI threshold
northamerica/elsalvador/sanmiguel,San Miguel,San Miguel (El Salvador),5,13,do,Volcano hiking,0.59,candidate,has description; high-value type; strong travel term,,,Carnaval de San Miguel,northamerica/elsalvador/sanmiguel/carnaval_de_san_miguel,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/San_Miguel_%28El_Salvador%29,candidate score 0.59 is below the 6.0 POI threshold
northamerica/nicaragua/bluefields,Bluefields,Bluefields,3,7,see,El Bluff,0.59,candidate,has description; high-value type; strong travel term,,,Bluefields Bay,northamerica/nicaragua/bluefields/bluefields_bay,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bluefields,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Qingdao Zhongshan Park Spring Garden Party,0.59,candidate,has description; high-value type; strong travel term,,,Qingdao Aquarium,asia/china/shandong_province/qingdao/qingdao_aquarium,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/cuernavaca,Cuernavaca,Cuernavaca,11,35,see,Parish church of Tlateltango,0.59,candidate,has description; high-value type; strong travel term,,,Pirámide de Teopanzolco,northamerica/mexico/cuernavaca/teopanzolco,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuernavaca,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/lombardia/como,Como,Como,10,35,do,Walk along the waterfront,0.59,candidate,has description; high-value type; strong travel term,,,Como Cathedral,europe/italy/lombardia/como/theduomo,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Como,candidate score 0.59 is below the 6.0 POI threshold
asia/india/uttarpradesh/aligarh,Aligarh,Aligarh,4,9,see,Manglayatan temple,0.59,candidate,has description; high-value type; strong travel term,,,Aligarh Fort,asia/india/uttarpradesh/aligarh/aligarh_fort,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aligarh,candidate score 0.59 is below the 6.0 POI threshold
asia/thailand/nakhon_pathom,Nakhon Pathom,Nakhon Pathom,6,15,do,Loy Krathong Festival,0.59,candidate,has description; high-value type; strong travel term,,,Phra Prathon Chedi,asia/thailand/nakhon_pathom/phra_prathon_chedi,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nakhon_Pathom,candidate score 0.59 is below the 6.0 POI threshold
northamerica/mexico/cuatla,Cuautla,Cuautla,4,11,see,Hacienda San Antonio Coahuixtla,0.59,candidate,has description; high-value type; strong travel term,,,Balneario Los Limones,northamerica/mexico/cuatla/balneario_los_limones,0.292,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cuautla,candidate score 0.59 is below the 6.0 POI threshold
europe/greece/kefalonia,Kefalonia,Kefalonia,8,26,see,Asos village,0.59,candidate,has description; high-value type; strong travel term,,,Assos,europe/greece/kefalonia/assos,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kefalonia,candidate score 0.59 is below the 6.0 POI threshold
europe/montenegro/perast,Perast,Perast,4,7,see,Church of St. Nicholas,0.59,candidate,has description; high-value type; strong travel term,,,Our Lady of the Rocks (Gospa od Škrpjela),europe/montenegro/perast/our_lady_of_the_rocks,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Perast,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/california/torrance,Torrance,Torrance,8,14,see,Pacific Electric Railroad Bridge,0.59,candidate,has description; high-value type; strong travel term,,,Charles H. Wilson Park,northamerica/unitedstates/california/torrance/wilson_park,0.34,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Torrance,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/rhinelandpalatinate/speyer,Speyer,Speyer,8,16,see,Jewish Courtyard,0.59,candidate,has description; high-value type; strong travel term,,,The Speyer Wine Bottle (Römerwein),europe/germany/rhinelandpalatinate/speyer/speyer_wine_bottle,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Speyer,candidate score 0.59 is below the 6.0 POI threshold
europe/netherlands/amersfoort,Amersfoort,Amersfoort,16,35,see,Remains of the second city wall,0.59,candidate,has description; high-value type; strong travel term,,,De Drie Ringen,europe/netherlands/amersfoort/de_drie_ringen,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Amersfoort,candidate score 0.59 is below the 6.0 POI threshold
