world66_path,wv_name,reason
northamerica/unitedstates/wisconsin/madison,UW Arboretum,duplicate/alias of existing University of Wisconsin Arboretum POI in Madison.
europe/hungary/sopron,Dwelling house,minor protected building lead with limited independent traveller value; does not clear score 6.0 for Sopron.
europe/finland/vantaa,Katrineberg Pks4H Petting Zoo,small local petting zoo well outside central Vantaa; below the durable visitor-POI threshold.
europe/hungary/gyor,Roman Catholic Church,generic local church outside Gyor centre with limited evidence of standalone travel value.
northamerica/unitedstates/massachusetts/worcester,EcoTarium - A Museum of Science and Nature,duplicate/alias of existing EcoTarium POI in Worcester.
northamerica/canada/ontario/welland,Fonthill Bandshell,event venue in nearby Fonthill rather than a durable Welland POI.
europe/germany/northrhinewestphalia/dortmund,Schloss Bodelschwingh,private moated castle with limited public access; weak fit as a Dortmund visitor POI.
northamerica/unitedstates/florida/northeastflorida/jacksonville,Avondale,duplicate/alias of existing Riverside and Avondale POI in Jacksonville.
northamerica/unitedstates/oklahoma/bartlesville,Jo Allyn Lowe Park,local neighborhood park; does not clearly clear score 6.0 for Bartlesville travel coverage.
northamerica/thecaribbean/guadeloupe/basseterre,Zoo de Guadeloupe,"strong attraction, but it belongs to Bouillante/Guadeloupe island coverage rather than Basse-Terre city."
