world66_path,wv_name,reason
australiaandpacific/australia/queensland/sunshinecoast,Coolum Art Picture Framing and Gallery,Small commercial framing/gallery listing; does not clear score 6.0 for the broad Sunshine Coast parent.
europe/finland/rovaniemi,KesäRafla summer restaurant and sauna,Seasonal hotel-linked restaurant/sauna rather than a durable public POI; weak fit for things_to_do.
europe/hungary/miskolc,Lutheran parish church in Miskolc,Minor local church with limited independent travel draw compared with existing Miskolc sights; below score threshold.
europe/germany/badenwrttemberg/stuttgart,Villa Reitzenstein,Government residence with limited regular public access; not suitable as a general traveller POI.
northamerica/unitedstates/florida/daytona_beach,Mary McLeod Bethune Performing Arts Center and Visual Arts Gallery,Event venue/gallery does not clearly add a visitor POI beyond the existing Mary McLeod Bethune Home and Daytona cultural listings.
asia/malaysia/langkawi,Panorama Langkawi: SkyCab Cable Car Ride & Sky Bridge,Duplicate/alias of existing Langkawi Sky Bridge coverage in the parent directory.
northamerica/unitedstates/hawaii/kailua,Kahalu'u Beach Surf & Sea,Commercial surf school and appears tied to Kahalu'u/Kona rather than the Kailua parent; reject as wrong-parent service listing.
northamerica/unitedstates/florida/lake_wales,Florida's Natural Grove House,Current opening status is uncertain/temporarily closed during validation; not safe to add as an active POI.
europe/finland/vantaa,Suomen Ilmailumuseo,Duplicate of existing Finnish Aviation Museum POI in the Vantaa directory.
europe/hungary/gyor,Saint Emeric Roman Catholic Church,Minor local church that does not clearly clear score 6.0 for Győr.
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/swindon,Swindon Art Gallery,Duplicate/alias of existing Museum & Art Swindon POI.
asia/china/guangxi/nanning,The Museum of Guangxi Zhuang Autonomous Region,Duplicate/alias of existing Guangxi Museum POI.
northamerica/unitedstates/mississippi/tupelo,Tupelo Furniture Market,Trade/commercial market venue and no existing child content directory for Tupelo; does not clear score 6.0 as a traveller POI.
