world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/wisconsin/milwaukee,Milwaukee,Milwaukee,10,127,do,Urban Anthropology,0.59,candidate,has description; high-value type; has external URL,,,Pabst Theater,northamerica/unitedstates/wisconsin/milwaukee/pabst_theater,0.323,,,missing_coordinates; has_external_url,http://www.urban-anthropology.org/,https://en.wikivoyage.org/wiki/Milwaukee,Ordinary tour/education operator rather than a durable Milwaukee POI.
europe/denmark/ribe,Ribe,Ribe,21,34,do,"""Black Sun""",0.59,candidate,has description; high-value type; has external URL,,,Café Backhaus,europe/denmark/ribe/cafe_seest,0.476,,,missing_coordinates; has_external_url,http://www.danhostel-ribe.dk/en/black-sun,https://en.wikivoyage.org/wiki/Ribe,"Seasonal wildlife spectacle sold via tour operator, too vague to map as a Ribe POI."
southamerica/brazil/campinas,Campinas,Campinas,8,95,do,Hippie Fair,0.59,candidate,has description; high-value type; has external URL,,,Parque Portugal (Lagoa do Taquaral),southamerica/brazil/campinas/parque_portugal,0.308,,,missing_coordinates; has_external_url,http://www.feirahippiecampinas.com.br/,https://en.wikivoyage.org/wiki/Campinas,Market/event listing without a durable standalone Campinas POI signal.
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,St. Patrick's Day Parade,0.59,candidate,has description; high-value type; has external URL,,,Historic Latta Plantation,northamerica/unitedstates/northcarolina/charlotte/historic_latta_plantation,0.458,,,missing_coordinates; has_external_url,http://www.saintpatricksdayparade.com/charlotte/charlotte.htm,https://en.wikivoyage.org/wiki/Charlotte,Event-only parade rather than a durable Charlotte POI.
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,do,Nauti-Cat Cruises,0.59,candidate,has description; high-value type; has external URL,,,Leelanau Trail,northamerica/unitedstates/michigan/traverse_city/leelanau_trail,0.452,,,missing_coordinates; has_external_url,http://www.nauti-cat.com/,https://en.wikivoyage.org/wiki/Traverse_City,Ordinary commercial cruise operator rather than a Traverse City POI.
europe/slovakia/kosice,Košice,Košice,7,153,do,USE THE C!TY Festival,0.59,candidate,has description; high-value type; has external URL,,,St. Michael Chapel,europe/slovakia/kosice/st_michael_chapel,0.294,,,missing_coordinates; has_external_url,http://www.usethecity.sk/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice,Event-only festival rather than a durable Košice POI.
northamerica/unitedstates/michigan/detroit,Detroit,Detroit,74,35,see,SMART FAST Bus,0.59,candidate,has description; high-value type; has external URL,,,Sugar House,northamerica/unitedstates/michigan/detroit/sugar_house,0.48,,,missing_coordinates; has_external_url,https://www.smartbus.org/ridesmart-fast,https://en.wikivoyage.org/wiki/Detroit,Transport-only bus service rather than a Detroit attraction.
australiaandpacific/newzealand/north_island/northland/paihia,Paihia,Paihia,6,14,do,Flying Kiwi Parasail,0.59,candidate,has description; high-value type; has external URL,,,Dolphin Watching and Swimming,australiaandpacific/newzealand/north_island/northland/paihia/dolphin_watching,0.327,,,missing_coordinates; has_external_url,http://www.parasail-nz.co.nz/,https://en.wikivoyage.org/wiki/Paihia,Ordinary commercial parasailing operator rather than a Paihia POI.
africa/tanzania/daressalaam,Dar es Salaam,Dar es Salaam,38,48,see,air viva,0.59,candidate,has description; high-value type; has external URL,,,Kariakoo,africa/tanzania/daressalaam/kariakoo,0.5,,,missing_coordinates; has_external_url,http://air-viva.com,https://en.wikivoyage.org/wiki/Dar_es_Salaam,Airline/travel operator listing rather than a Dar es Salaam POI.
asia/oman/muscat,Muscat,Muscat,24,152,see,Pakistan International Airlines,0.59,candidate,has description; high-value type; has external URL,,,Bait Al Zubair,asia/oman/muscat/bait_al_zubair,0.444,,,missing_coordinates; has_external_url,https://www.piac.com.pk/,https://en.wikivoyage.org/wiki/Muscat,Airline office/transport listing rather than a Muscat POI.
