world66_path,wv_name,reason
southamerica/venezuela/altos_mirandinos/los_teques,St. Philip Neri Cathedral,external source appears to point to an unrelated kiosk listing; not enough reliable corroboration
northamerica/mexico/villahermosa,La Venta Museum-Park,duplicate of existing Parque-Museo La Venta POI
europe/finland/turku,Linnateatteri,does not clearly clear score threshold for this parent location
asia/china/shandong_province/weihai,Museum of the First Sino-Japanese War,appears already covered by existing Liugong Island and Dingyuan Museum POI
europe/hungary/gyor,Former Frederick barracks,weak visitor value as a standalone POI for Győr
europe/hungary/kalocsa,Dunapataj,separate settlement/day-trip lead rather than a Kalocsa POI
northamerica/unitedstates/michigan/grandrapids,Dog Story Theatre,local venue with weak travel value for Grand Rapids
northamerica/unitedstates/massachusetts/plymouth,Ellisville Harbor State Park,too far south to justify as a Plymouth city POI in this batch
northamerica/unitedstates/indiana/indianapolis,Civic Theatre,Carmel venue too far from Indianapolis parent for a city POI
europe/norway/narvik,Hiking from Beisfjord,route lead is vague and better handled as trail/day-trip content
southamerica/brazil/manaus,Sumaúma State Park,official corroboration is weak and current visitor access is unclear
europe/unitedkingdom/scotland/ayr,Cumnock Heritage Centre,belongs to Cumnock rather than Ayr; too distant for parent
northamerica/unitedstates/louisiana/morgan_city,Swamp Gardens & Wildlife Zoo,does not clearly clear score threshold for this parent location
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Wyming Brook Nature Reserve and Stanage Edge,"composite day-trip/nature lead, not a single Sheffield POI"
europe/greece/poros,Bourtzi Castle,small offshore ruin with weak current visitor infrastructure for Poros
northamerica/unitedstates/massachusetts/plymouth,Fresh Pond Park,local recreation area with lower travel value than existing Plymouth nature POIs
asia/china/shandong_province/yantai,Tashan Park,coordinate/name corroboration too weak for a new Yantai POI
asia/malaysia/johorbahru,Glulam Gallery,source is only a social page and visitor value is unclear
europe/ireland/maynooth,The Steam Museum,near Straffan rather than Maynooth; better as separate/day-trip content
northamerica/unitedstates/ohio/toledo,Buddhist Temple of Toledo,suburban religious site with weak travel value for Toledo parent
northamerica/unitedstates/louisiana/batonrouge,Independence Park,local park with lower travel value than existing Baton Rouge POIs
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/derby,Dubrek Studios,local events venue with weak durable visitor value
europe/germany/badenwrttemberg/mannheim,Herzogenriedpark,secondary city park; does not clearly clear score threshold beside existing Luisenpark
europe/denmark/esbjerg,Tirpitz,does not clearly clear score threshold for this parent location
europe/france/midi/languedoc/toulouse,L'Usine,suburban arts venue with weak fit as a Toulouse POI
