world66_path,wv_name,reason
northamerica/unitedstates/kentucky/louisville,St. James Court Art Show,Annual event rather than a durable POI; not suitable for a flat things-to-do file.
europe/hungary/gyor,Galgóczi Elizabeth Memorial Room,Very niche memorial room below Győr's local threshold.
northamerica/unitedstates/pennsylvania/erie,Fort LeBoeuf Museum,"Located in Waterford, far outside Erie; should not be added as an Erie city POI."
asia/kazakhstan/astana,Expo 2017 buildings,Duplicate/alias of existing Expo District POI.
asia/israel/eliat,Kings City in Eilat,Defunct/closed attraction and not suitable for current POI coverage.
europe/ukraine/kyiv,Palace of Sports,Ordinary event arena below Kyiv's local travel threshold.
northamerica/unitedstates/ohio/toledo,The Lights Before Christmas,"Seasonal event attached to the existing Toledo Zoo, not a separate durable POI."
northamerica/unitedstates/southcarolina/columbia,Fort Jackson,Active military base/visitor-info listing rather than a traveller POI.
europe/unitedkingdom/england/birmingham_and_west_midlands/coventry,Lake View Park,Small neighbourhood park below Coventry's local things-to-do threshold.
europe/hungary/szombathely,Sorokpolány,Separate village outside Szombathely; not a city POI.
northamerica/unitedstates/california/chulavista,North Island Credit Union Amphitheatre,Large concert venue but below Chula Vista's travel POI threshold unless attending a show.
asia/china/shandong_province/jinan,Jinan Zoo,Duplicate/alias of existing Jinan Zoo and Botanical Garden page under the same parent.
asia/china/zhejiang/ningbo,Hemudu Site,Duplicate/alias of existing Hemudu Archaeological Site and Museum page under the same parent.
