world66_path,wv_name,reason
northamerica/unitedstates/northcarolina/greensboro,Greensboro Science Center and the new Animal Discovery Zoological Park,duplicate/alias of existing Greensboro Science Center POI
europe/hungary/sopron,Lővér adventure park,commercial ropes/adventure park; not clearly a durable city-guide POI for Sopron
asia/israel/eilat,SPNI's Eilat Hiking Division,organization/activity office rather than a named visitor POI
australiaandpacific/australia/queensland/sunshinecoast,Landsborough Galleries,small commercial gallery/framing shop with weak independent travel value for the Sunshine Coast parent
europe/germany/bavaria/erlangen,Galerie im Treppenhaus,small gallery listing with limited evidence of score-6 traveller value for Erlangen
asia/china/yunnanprovince/tengchong,Stilwell Road Museum,insufficient reliable source beyond a maps search URL; not enough corroboration to add
asia/philippines/iloilo_city,Deca Wakeboard Park,commercial sports facility on the edge of Iloilo; not clearly a core travel POI
europe/italy/lombardia/como,Cattedrale di Santa Maria Assunta,duplicate/alias of existing Como Cathedral POI
northamerica/unitedstates/california/manhattenbeach,AVP Beach Volleyball Championship,"seasonal event, not a durable POI file"
europe/germany/bavaria/augsburg,Augsburger Plärrer,seasonal fair/event rather than a year-round place POI
northamerica/canada/ontario/niagrafalls,The Q,unclear/weak downtown entertainment listing; not enough evidence for a durable Niagara Falls POI
