world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/washington/friday_harbor,Friday Harbor,Friday Harbor,4,19,see,San Juan Transit,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Whale Watching,northamerica/unitedstates/washington/friday_harbor/whale_watching,0.333,,,missing_coordinates; has_external_url,https://www.sanjuantransit.com/,https://en.wikivoyage.org/wiki/Friday_Harbor,"transport service/listing, not a travel POI"
europe/germany/lowersaxony/goslar,Goslar,Goslar,13,36,do,Harz National Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Oberharz Water Management System,europe/germany/lowersaxony/goslar/oberharz_water_system,0.4,,,missing_coordinates; has_external_url,http://www.nationalpark-hochharz.de/,https://en.wikivoyage.org/wiki/Goslar,broad regional/national-park destination rather than a specific Goslar POI
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,see,Kress Emporium,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Thomas Wolfe Memorial,northamerica/unitedstates/northcarolina/asheville/thomas_wolfe_memorial,0.4,,,missing_coordinates; has_external_url,http://www.thekressemporium.com,https://en.wikivoyage.org/wiki/Asheville,ordinary commercial gallery/shop below travel-worthy POI threshold
northamerica/unitedstates/texas/big_bend_national_park,Big Bend National Park,Big Bend National Park,0,15,do,Desert Sports,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,,,0.0,,,missing_coordinates; has_external_url,http://www.desertsportstx.com/,https://en.wikivoyage.org/wiki/Big_Bend_National_Park,ordinary commercial tour/activity operator below POI threshold
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Mykolas Žilinskas Picture Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kaunas Castle,europe/lithuania/kaunas/kaunas_castle,0.4,,,missing_coordinates; has_external_url,https://ciurlionis.lt/activities/branches/m-zilinskas-art-gallery-closed-for-reconstruction/,https://en.wikivoyage.org/wiki/Kaunas,gallery is closed for reconstruction and not a current visitor POI
asia/turkey/antalya,Antalya,Antalya,50,44,see,Saint Paul Union Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Antalya Museum,asia/turkey/antalya/antalya_museum,0.432,,,missing_coordinates; has_external_url,https://www.spccturkey.com/,https://en.wikivoyage.org/wiki/Antalya,ordinary institution/local church below travel-worthy POI threshold
asia/malaysia/kuantan,Kuantan,Kuantan,7,12,do,Learn to Kitesurf at Balok Beach,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Teluk Cempedak Beach,asia/malaysia/kuantan/teluk_cempedak,0.385,,,missing_coordinates; has_external_url,http://www.kiteboardingmalaysia.com,https://en.wikivoyage.org/wiki/Kuantan,ordinary commercial tour/activity operator below POI threshold
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Newport Sport Fishing Charters,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Newport Tower,northamerica/unitedstates/rhodeisland/newport/newport_tower,0.512,,,missing_coordinates; has_external_url,http://www.nsfcharters.com,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29,ordinary commercial tour/activity operator below POI threshold
northamerica/honduras/bayislands/roatan,Roatán,Roatán,20,40,do,Shirkie's Barrio Dorcas Ranch,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,West Bay Beach,northamerica/honduras/bayislands/roatan/west_bay,0.419,,,missing_coordinates; has_external_url,http://www.barriodorcasranch.com,https://en.wikivoyage.org/wiki/Roat%C3%A1n,ordinary commercial tour/activity operator below POI threshold
europe/serbia/kosovoprovince/prizren,Prizren,Prizren,7,50,do,"Rezervat Strikt i Natyrës ""Lumbardhi""",0.63,candidate,has description; high-value type; has external URL; strong travel term,,,League of Prizren Museum,europe/serbia/kosovoprovince/prizren/league_of_prizren,0.339,,,missing_coordinates; has_external_url,https://www.openstreetmap.org/way/591370281,https://en.wikivoyage.org/wiki/Prizren,did not clear the score 6.0 travel-worthy threshold for this parent destination
northamerica/unitedstates/massachusetts/northhampton,Northampton,Northampton (Massachusetts),8,52,see,Elm Street/Round Hill Historic District,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Connecticut River and Bike Paths,northamerica/unitedstates/massachusetts/northhampton/connecticut_river,0.338,,,missing_coordinates; has_external_url,http://www.northamptonma.gov/1324/Historic-District,https://en.wikivoyage.org/wiki/Northampton_%28Massachusetts%29,did not clear the score 6.0 travel-worthy threshold for this parent destination
northamerica/unitedstates/california/longbeach,Long Beach,Long Beach,10,97,see,Long Beach City College,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rancho Los Alamitos,northamerica/unitedstates/california/longbeach/rancho_los_alamitos,0.368,,,missing_coordinates; has_external_url,http://www.lbcc.edu,https://en.wikivoyage.org/wiki/Long_Beach,ordinary institution/local church below travel-worthy POI threshold
northamerica/unitedstates/utah/parkcity,Park City,Park City (Utah),7,16,do,Kimball Arts Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sundance Film Festival,northamerica/unitedstates/utah/parkcity/sundance_film_festival,0.465,,,missing_coordinates; has_external_url,http://www.parkcitykimballartsfestival.org/,https://en.wikivoyage.org/wiki/Park_City_%28Utah%29,"event-only listing, not a permanent POI"
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,do,Kayak Adventures Worldwide,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Alaska SeaLife Center,northamerica/unitedstates/alaska/seward/alaska_sealife_center,0.383,,,missing_coordinates; has_external_url,http://www.kayakak.com/,https://en.wikivoyage.org/wiki/Seward,ordinary commercial tour/activity operator below POI threshold
europe/austria/linz,Linz,Linz,11,63,do,The Grotto Railway,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Grottenbahn (Grotto Railway),europe/austria/linz/grottenbahn,0.48,,,missing_coordinates; has_external_url,http://www.linz.at/english/tourism/default_9224.asp,https://en.wikivoyage.org/wiki/Linz,duplicate of existing Grottenbahn (Grotto Railway) POI
europe/netherlands/edam,Edam,Edam,5,13,see,Great Church,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Grote Kerk,europe/netherlands/edam/grote_kerk,0.455,,,missing_coordinates; has_external_url,http://www.grotekerkedam.nl,https://en.wikivoyage.org/wiki/Edam,duplicate of existing Grote Kerk POI in Edam
southamerica/colombia/santamarta,Santa Marta,Santa Marta,9,33,do,Birdwatching,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,El Rodadero Beach,southamerica/colombia/santamarta/el_rodadero,0.385,,,missing_coordinates; has_external_url,https://conservation.co/en/el-dorado-nature-reserve/,https://en.wikivoyage.org/wiki/Santa_Marta,broad activity rather than a fixed POI
northamerica/canada/britishcolumbia/grandforks,Grand Forks,Grand Forks (British Columbia),8,9,see,Mountain Man Mike's Bus Service,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hardy Mountain Doukhobor Village,northamerica/canada/britishcolumbia/grandforks/hardy_mountain_village,0.444,,,missing_coordinates; has_external_url,https://mountainmanmikes.ca/,https://en.wikivoyage.org/wiki/Grand_Forks_%28British_Columbia%29,"transport service/listing, not a travel POI"
northamerica/unitedstates/massachusetts/yarmouth,Yarmouth,Yarmouth (Massachusetts),6,24,do,Skull Island Adventure Golf And Sports World,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Route 6A — Old King's Highway,northamerica/unitedstates/massachusetts/yarmouth/route_6a,0.282,,,missing_coordinates; has_external_url,https://skullislandcapecod.com/,https://en.wikivoyage.org/wiki/Yarmouth_%28Massachusetts%29,did not clear the score 6.0 travel-worthy threshold for this parent destination
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,do,Jennings Resort,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dixie Walesbilt Hotel,northamerica/unitedstates/florida/lake_wales/dixie_walesbilt_hotel,0.278,,,missing_coordinates; has_external_url,http://www.jenningsresort.com,https://en.wikivoyage.org/wiki/Lake_Wales,"accommodation/resort listing, excluded from World66 POI production"
northamerica/unitedstates/newyorkstate/cooperstown,Cooperstown,Cooperstown,8,17,do,Glimmerglass Opera Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fly Creek Cider Mill and Orchard,northamerica/unitedstates/newyorkstate/cooperstown/fly_creek_cider_mill,0.339,,,missing_coordinates; has_external_url,http://glimmerglass.org,https://en.wikivoyage.org/wiki/Cooperstown,"event-only listing, not a permanent POI"
