world66_path,wv_name,reason
northamerica/belize/ambergriscaye,Eco-museum Belize,small museum lead with limited independent travel value; not clearly score 6.0 for Ambergris Caye
northamerica/unitedstates/ohio/sandusky,ColossalCon,temporary convention event rather than a durable POI
europe/germany/northrhinewestphalia/aachen,Belvedere rotating water tower,access and restaurant operations are uncertain; not clearly durable score 6.0 POI
asia/indonesia/java/yogyakarta,Dr. Yap Prawirohusodo Museum,small specialist medical-history museum; not clearly score 6.0 for Yogyakarta
northamerica/mexico/saltillo,Museo de la Katrina,small pop-culture museum; not clearly score 6.0 against Saltillo lineup
europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle,Solway Aviation Museum,specialist aviation museum outside Carlisle; not clearly score 6.0 against parent lineup
northamerica/canada/newbrunswick/moncton,Dobson Trail,long-distance trail mostly outside Moncton; better treated as regional hiking lead
northamerica/unitedstates/newyorkstate/syracuse,Shakespeare-In-The-Park,seasonal performance series rather than a durable POI
northamerica/unitedstates/tennessee/knoxville,Historic Westwood,limited-access house museum; not clearly score 6.0 against Knoxville priorities
europe/hungary/tapolca,Salföld,separate village/Káli Basin destination rather than a Tapolca POI
northamerica/unitedstates/oregon/salem,Gilbert House Children`s Museum,children-focused museum; not clearly score 6.0 for general Salem travel coverage
northamerica/canada/ontario/niagrafalls,Nathaniel Dett Memorial Chapel,important local history but limited public-access POI; not clearly score 6.0
northamerica/unitedstates/arizona/prescott,Heritage Park Zoological Sanctuary,small regional zoo; not clearly score 6.0 against Prescott outdoor and historic sights
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln,RAF Scampton Heritage Centre,current public access is uncertain after RAF Scampton changes
asia/philippines/guimaras,Roca Encantada,access appears limited/private enough that it is questionable as a POI
europe/spain/spanishcostas/valencia,Espai Rambleta,calendar-dependent arts venue rather than a durable Valencia POI
northamerica/unitedstates/indiana/evansville,Mesker Park Zoo,regional zoo does not clearly clear score 6.0 against Evansville lineup
asia/japan/kyushu/beppu,The Aqua Garden,"hotel-resort pool complex, excluded as accommodation-adjacent content"
europe/ukraine/donetsk,Donetsk railway Museum,current access and visitor suitability are too uncertain
northamerica/unitedstates/newjersey/toms_river,Cattus Island Park,pleasant county nature park but not clearly score 6.0 against Toms River/Shore priorities
asia/oman/muscat,Trekking path C38,route definition and current conditions need stronger verification before publishing
northamerica/unitedstates/newyorkstate/buffalo,"St. Stanislaus, Bishop and Martyr RC Church",historic church but not clearly score 6.0 against Buffalo architecture lineup
northamerica/canada/manitoba/winnipeg,Carol Shields Memorial Labyrinth,brief literary memorial garden; not clearly score 6.0 for Winnipeg
northamerica/unitedstates/nevada/reno,The Great Reno Balloon Race,annual event rather than a durable POI
europe/germany/hessen/kassel,Technik-Museum Kassel,specialist technology museum; not clearly score 6.0 against Kassel lineup
europe/netherlands/thehague,Haags Openbaar Vervoer Museum,limited-hours transport museum; not clearly score 6.0 against The Hague priorities
northamerica/unitedstates/westvirginia/wheeling,Oglebay Institute Glass Museum,specialist museum within broader Oglebay coverage; not clearly score 6.0 as separate Wheeling POI
northamerica/unitedstates/ohio/mentor,Finnish Heritage Museum,small volunteer heritage museum; not clearly score 6.0 against Mentor lineup
europe/finland/oulu,Vauhtipuisto,small seasonal amusement park; not clearly score 6.0 for Oulu
europe/russia/murmansk,Memorial to the Soldiers and Seamen Who Died in Peaceful Time,already covered by existing Lighthouse and Submarine Memorial POI
asia/indonesia/java/yogyakarta,Yogyakarta Batik Museum,small specialist textile museum; not clearly score 6.0 against Yogyakarta lineup
europe/ukraine/crimea/yalta,Yalta Zoo,current travel/access conditions make this lead questionable
europe/finland/mikkeli,Suur-Savon museo,small regional museum; not clearly score 6.0 against Mikkeli lineup
europe/switzerland/wengen,Lutheran Church,minor local church does not clearly clear score 6.0 for Wengen
europe/norway/kristiansand,Høllen,separate village/harbour area rather than a Kristiansand POI
northamerica/unitedstates/california/sanjose,San Jose Museum of Quilts and Textiles,specialist textile museum; not clearly score 6.0 against San Jose priorities
europe/germany/schleswigholstein/kiel,Schönberger Strand heritage railway,separate coastal village attraction rather than a Kiel POI
northamerica/unitedstates/illinois/carbondale,"Jeremy ""Boo"" Rochman Memorial Park",local themed playground/park; not clearly score 6.0 for Carbondale
europe/netherlands/scheveningen,Parochie H. Antonius Abt,local parish church does not clearly clear score 6.0 for Scheveningen
asia/oman/muscat,Oil and Gas Exhibition Centre,special-interest corporate exhibition does not clearly clear score 6.0 for Muscat
