world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/unitedkingdom/england/eastern_england/cambridge,Cambridge,Cambridge,54,165,see,Imperial War Museum Duxford,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.0959,0.1321,Polar Museum Mural,europe/unitedkingdom/england/eastern_england/cambridge/polar_tundra,0.622,11.982,12.225,has_external_url,https://www.iwm.org.uk/visits/iwm-duxford,https://en.wikivoyage.org/wiki/Cambridge,duplicate_or_alias_existing_poi: already covered by IWM Duxford / duxford_iwm.md
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,do,Mount Helena,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.58794,-112.1065,Mount Helena City Park,northamerica/unitedstates/montana/helena/mount_helena,0.706,4.004,5.39,has_external_url,https://www.helenamt.gov/Parks/TH-Mount-Helena-Trailhead,https://en.wikivoyage.org/wiki/Helena_%28Montana%29,duplicate_or_alias_existing_poi: Mount Helena City Park already exists
asia/philippines/mindanaoisland/davao,Davao,Davao,38,40,see,Crocodile Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,7.098,125.599,People's Park,asia/philippines/mindanaoisland/davao/peoples_park,0.593,3.198,3.821,has_external_url,https://www.facebook.com/davaocrocodileparkandzoo/,https://en.wikivoyage.org/wiki/Davao,duplicate_or_alias_existing_poi: Crocodile Farm and Davao Wild Water Adventure already exists
northamerica/canada/ontario/kingston,Kingston,Kingston (Ontario),8,106,do,Wolfe Island,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.19,-76.44,Thousand Islands,northamerica/canada/ontario/kingston/thousand_islands,0.571,32.394,5.868,has_external_url,https://www.wolfeisland.com/,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29,"separate_day_trip_location: Wolfe Island is a destination/island, not a flat city POI"
asia/pakistan/moenjodaro,Moenjodaro,Mohenjo-daro,3,6,see,Mohenjo-daro Archaeology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.32835,68.13163,The Great Bath,asia/pakistan/moenjodaro/great_bath,0.649,0.351,0.888,has_external_url,https://antiquities.sindhculture.gov.pk/index.php/sites/museums/archaeological-museum-mohenjo-daro-larkano,https://en.wikivoyage.org/wiki/Mohenjo-daro,duplicate_or_alias_existing_poi: Mohenjo-daro Site Museum already exists
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Shot Tower,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.500083,-90.654,Dubuque Shot Tower,northamerica/unitedstates/iowa/dubuque/dubuque_shot_tower,0.714,0.965,0.887,has_external_url,http://www.cityofdubuque.org/index.aspx?NID=712/,https://en.wikivoyage.org/wiki/Dubuque,duplicate_or_alias_existing_poi: Dubuque Shot Tower already exists
europe/finland/kotka,Kotka,Kotka,3,31,see,Maretarium Aquarium,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.4612,26.9507,Maretarium,europe/finland/kotka/maretarium,0.69,0.638,0.728,has_external_url,http://www.maretarium.fi/fi/?lang=en,https://en.wikivoyage.org/wiki/Kotka,duplicate_or_alias_existing_poi: Maretarium already exists
europe/germany/brandenburg/oranienburg,Oranienburg,Oranienburg,5,9,see,Sachsenhausen Memorial and Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.7635,13.26186,Sachsenhausen Concentration Camp,europe/germany/brandenburg/oranienburg/sachsenhausen_concentration_camp,0.632,0.368,2.066,has_external_url,http://www.stiftung-bg.de/gums/en/index.htm,https://en.wikivoyage.org/wiki/Oranienburg,duplicate_or_alias_existing_poi: Sachsenhausen Concentration Camp already exists
northamerica/unitedstates/connecticut/hartford,Hartford,Hartford,11,75,see,Elizabeth Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.7757766,-72.714588,Elizabeth Park Rose Garden,northamerica/unitedstates/connecticut/hartford/elizabeth_park_rose_garden,0.7,0.63,2.332,has_external_url,https://www.elizabethparkct.org/,https://en.wikivoyage.org/wiki/Hartford,duplicate_or_alias_existing_poi: Elizabeth Park Rose Garden already covers the attraction
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Regina Mundi parish,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.09208,17.90298,Veszprém County Hall,europe/hungary/veszprem/veszprem_county_hall,0.603,0.397,0.407,has_external_url,http://reginamundiplebania.hu/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m,weak_local_only: ordinary parish church below POI threshold for Veszprem
