world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/newhampshire/concord,Concord,Concord (New Hampshire),15,24,see,Concord Coach Lines,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.212798459623706,-71.53460552773657,Downtown Concord Historic District,northamerica/unitedstates/newhampshire/concord/downtown_concord_historic_district,0.415,0.866,0.576,has_external_url,https://concordcoachlines.com/,https://en.wikivoyage.org/wiki/Concord_%28New_Hampshire%29,"transport operator, not a POI"
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Bootsverleih am Klingerweg,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.33,12.34842,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.381,2.14,2.177,has_external_url,http://www.bootstour-leipzig.de/,https://en.wikivoyage.org/wiki/Leipzig,"boat rental operator, not a POI"
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Embedded World,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.4175,11.117,Ehekarussell,europe/germany/bavaria/nuremberg/ehekarussell,0.308,4.958,4.96,has_external_url,https://www.embedded-world.de/en,https://en.wikivoyage.org/wiki/Nuremberg,"trade fair/event, not a fixed POI"
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Sports Prima,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.529135,103.759838,De Bieres Pub and Cafe,asia/malaysia/johorbahru/debirespubc,0.323,6.269,7.908,has_external_url,http://sportsprima.com/,https://en.wikivoyage.org/wiki/Johor_Bahru,"local sports facility/business, weak travel value"
northamerica/canada/saskatchewan/saskatoon,Saskatoon,Saskatoon,6,72,do,Marquis Downs,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.09497,-106.67782,Broadway District,northamerica/canada/saskatchewan/saskatoon/broadway_district,0.267,3.839,4.257,has_external_url,http://www.marquisdowns.com/,https://en.wikivoyage.org/wiki/Saskatoon,racecourse lead is weak/unstable and not a priority attraction
northamerica/unitedstates/newjersey/newark,Newark,Newark,8,43,see,Heal The World Mural (Autism Awareness),0.89,candidate,has coordinates; has description; high-value type; has external URL,40.75563,-74.21618,Newark Museum of Art,northamerica/unitedstates/newjersey/newark/newark_museum_of_art,0.389,3.965,4.308,has_external_url,https://www.unicorn151.com,https://en.wikivoyage.org/wiki/Newark,"local mural, not enough travel significance for a POI"
northamerica/unitedstates/northcarolina/asheville,Asheville,Asheville,20,153,do,Old Farmers Ball contra dance,0.89,candidate,has coordinates; has description; high-value type; has external URL,35.612778,-82.440833,Folk Art Center,northamerica/unitedstates/northcarolina/asheville/folk_art_center,0.455,3.938,10.132,has_external_url,https://oldfarmersball.com/contra-dances/thursday-dance/,https://en.wikivoyage.org/wiki/Asheville,"recurring local event, not a fixed POI"
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,do,El Dorado Waterpark,0.89,candidate,has coordinates; has description; high-value type; has external URL,10.7059,122.5509,Iloilo River Esplanade,asia/philippines/iloilo_city/iloilo_river_esplanade,0.368,1.097,2.006,has_external_url,https://www.facebook.com/mo2westowniloilo/posts/enjoy-your-weekend-at-el-dorado-waterpark-entrance-fee-is-at-php-120cover/230445930309240/,https://en.wikivoyage.org/wiki/Iloilo_City,"local waterpark/hotel leisure business, weak POI"
northamerica/unitedstates/kansas/topeka,Topeka,Topeka,14,36,do,Stormont Vail Events Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.034489,-95.685735,Topeka Zoo and Conservation Center,northamerica/unitedstates/kansas/topeka/topeka_zoo,0.459,3.613,1.763,has_external_url,https://www.stormontvaileventscenter.com/,https://en.wikivoyage.org/wiki/Topeka,"generic event center, not independently travel-worthy"
europe/unitedkingdom/england/south_east/gillingham,Gillingham,Gillingham (Kent),8,10,do,Silver Blades Gillingham,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.3674,0.5764,Gillingham Park,europe/unitedkingdom/england/south_east/gillingham/gillingham_park,0.513,3.191,3.04,has_external_url,http://www.silver-blades.co.uk/,https://en.wikivoyage.org/wiki/Gillingham_%28Kent%29,"local ice rink business, weak travel value"
