world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/malaysia/perhentianislands,Perhentian Islands,Perhentian Islands,9,35,do,Anti Gravity Divers,0.51,candidate,high-value type; has external URL,,,Tiga Ruang Dive Site,asia/malaysia/perhentianislands/tiga_ruang,0.513,,,missing_coordinates; has_external_url,https://www.scubadivingperhentian.com/,https://en.wikivoyage.org/wiki/Perhentian_Islands,candidate score 0.51 is below the 6.0 POI threshold
northamerica/unitedstates/washingtondc,Washington D.C.,"Washington, D.C.",48,211,see,Guinea,0.51,candidate,high-value type; has external URL,,,Lincoln Memorial,northamerica/unitedstates/washingtondc/lincoln_memorial,0.364,,,missing_coordinates; has_external_url,https://www.consulateofguinea.com/the-embassy,https://en.wikivoyage.org/wiki/Washington%2C_D.C.,candidate score 0.51 is below the 6.0 POI threshold
southamerica/peru/lima,Lima,Lima,64,51,see,Mexico,0.51,candidate,high-value type; has external URL,,,Maido,southamerica/peru/lima/maido,0.545,,,missing_coordinates; has_external_url,https://embamex.sre.gob.mx/peru/,https://en.wikivoyage.org/wiki/Lima,candidate score 0.51 is below the 6.0 POI threshold
europe/finland/helsinki,Helsinki,Helsinki,56,99,see,United States of America,0.51,candidate,high-value type; has external URL,,,Finnish National Opera,europe/finland/helsinki/national_opera,0.435,,,missing_coordinates; has_external_url,http://fi.usembassy.gov/,https://en.wikivoyage.org/wiki/Helsinki,candidate score 0.51 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Nigeria,0.51,candidate,high-value type; has external URL,,,Gorky Park,europe/russia/moscow/gorky_park,0.353,,,missing_coordinates; has_external_url,http://www.nigerianembassy.ru,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.51 is below the 6.0 POI threshold
northamerica/unitedstates/florida/miami,Miami,Miami,57,70,see,Costa Rica,0.51,candidate,high-value type; has external URL,,,Joe's Stone Crab,northamerica/unitedstates/florida/miami/joes_stone_crab,0.462,,,missing_coordinates; has_external_url,http://www.costarica-embassy.org,https://en.wikivoyage.org/wiki/Miami,candidate score 0.51 is below the 6.0 POI threshold
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,see,Enterprise,0.51,candidate,high-value type; has external URL,,,New York State Museum,northamerica/unitedstates/newyorkstate/albany/new_york_state_museum,0.323,,,missing_coordinates; has_external_url,http://www.enterprise.com,https://en.wikivoyage.org/wiki/Albany_%28New_York%29,candidate score 0.51 is below the 6.0 POI threshold
europe/sweden/linkping,Linköping,Linköping,5,45,see,Systembolaget Ekholmen,0.51,candidate,high-value type; has external URL,,,Stortorget,europe/sweden/linkping/stortorget,0.375,,,missing_coordinates; has_external_url,http://www.systembolaget.se/ButikerOppettider/Butiksdetaljer.htm?ButikNr=106,https://en.wikivoyage.org/wiki/Link%C3%B6ping,candidate score 0.51 is below the 6.0 POI threshold
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Taiwan,0.51,candidate,high-value type; has external URL,,,The Wonderboom,africa/southafrica/pretoria/wonderboom,0.25,,,missing_coordinates; has_external_url,http://www.roc-taiwan.org/ZA/mp.asp?mp=402,https://en.wikivoyage.org/wiki/Pretoria,candidate score 0.51 is below the 6.0 POI threshold
europe/unitedkingdom/england/london,London,London,76,205,see,Congo (Democratic Republic),0.51,candidate,high-value type; has external URL,,,Covent Garden,europe/unitedkingdom/england/london/covent_garden,0.444,,,missing_coordinates; has_external_url,http://www.ambardc.london/,https://en.wikivoyage.org/wiki/London,candidate score 0.51 is below the 6.0 POI threshold
