batch,row,world66_path,world66_title,wv_type,wv_name,reject_reason,source_url,external_url
batch_0057,3,northamerica/canada/ontario/ottawa,Ottawa,see,Ottawa 67's,Sports team listing rather than a durable Ottawa POI.,https://en.wikivoyage.org/wiki/Ottawa,http://ottawa67s.com/
batch_0057,4,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/weymouth,Weymouth,do,Southside Funfair,Seasonal funfair is too slight and event-led for a standalone Weymouth POI.,https://en.wikivoyage.org/wiki/Weymouth,https://southsidefunfair.co.uk/
batch_0057,5,northamerica/unitedstates/northdakota/williston,Williston,do,Strike Zone,Bowling/recreation venue below the travel threshold.,https://en.wikivoyage.org/wiki/Williston_%28North_Dakota%29,https://strikezonend.com/
batch_0057,6,asia/china/shandong_province/yantai,Yantai,see,Mu Family Manor,Lead could not be reliably corroborated from the supplied source; coordinates/source appear inconsistent.,https://en.wikivoyage.org/wiki/Yantai,https://www.crmixclifestyle.com.cn/
batch_0057,7,asia/indonesia/bali/sanur,Sanur,see,Bali Store Luggage,"Luggage storage service, not a travel POI.",https://en.wikivoyage.org/wiki/Sanur,http://www.balistoreluggage.com
batch_0057,12,northamerica/unitedstates/michigan/annarbor,Ann Arbor,see,Herbarium,University herbarium/research collection has limited visitor signal and falls below threshold.,https://en.wikivoyage.org/wiki/Ann_Arbor,http://www.herbarium.lsa.umich.edu/
batch_0057,15,northamerica/mexico/islamujeres,Isla Mujeres,do,Mexico Divers PADI / SDI Resort,Commercial dive operator rather than a durable POI.,https://en.wikivoyage.org/wiki/Isla_Mujeres,https://mexicodivers.com/
batch_0057,17,northamerica/unitedstates/florida/lake_wales,Lake Wales,do,Jump Florida Skydiving,Commercial skydiving operator rather than a durable POI.,https://en.wikivoyage.org/wiki/Lake_Wales,https://jumpfloridaskydiving.com/
batch_0057,19,asia/china/jiangsu_province/nanjing,Nanjing,see,Meihuashan,Duplicate: Meihuashan is already covered as Plum Blossom Hill in Nanjing.,https://en.wikivoyage.org/wiki/Nanjing,https://zschina.nanjing.gov.cn/fjms/jqjd/mxljq/zyjd_73297/202312/t20231212_4120393.html
batch_0057,22,northamerica/unitedstates/arizona/scottsdale,Scottsdale,do,Casino Arizona,Casino listing below threshold for Scottsdale things_to_do coverage.,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29,https://www.casinoarizona.com/
batch_0057,27,asia/syria/palmyra,Palmyra,do,Run laps,"Vague activity route, not a named POI.",https://en.wikivoyage.org/wiki/Palmyra,http://www.gpsies.com/map.do?fileId=npkrnpfgfvoloqar
batch_0057,28,europe/netherlands/eindhoven,Eindhoven,do,Monk bouldergym,Climbing gym/recreation business below the travel threshold.,https://en.wikivoyage.org/wiki/Eindhoven,http://www.monkeindhoven.nl
batch_0057,32,europe/denmark/billund,Billund,do,Vandel Gokart,Go-kart track/recreation business below the travel threshold.,https://en.wikivoyage.org/wiki/Billund,https://vandelgokart.dk/
batch_0057,33,europe/germany/hamburg,Hamburg,see,St. Elisabeth,Local parish church with insufficient distinct visitor value for Hamburg.,https://en.wikivoyage.org/wiki/Hamburg,http://www.st-elisabeth-hh.de/
batch_0057,34,asia/china/heilongjiang/yichun,Yichun,see,Yichun Central Coach Station,"Coach station/transport facility, not a travel POI.",https://en.wikivoyage.org/wiki/Yichun_%28Heilongjiang%29,http://www.yckyz.org.cn/
batch_0057,38,asia/indonesia/java/semarang,Semarang,do,Jateng Fair,Old event listing with weak current source and insufficient durable POI value.,https://en.wikivoyage.org/wiki/Semarang,http://seputarsemarang.com/jateng-fair-2010-prpp-4687
batch_0057,39,asia/indonesia/sumatra/medan,Medan,see,TNT Express,"Courier/business office, not a travel POI.",https://en.wikivoyage.org/wiki/Medan,https://www.tnt.com
batch_0057,40,europe/norway/lofotenislands/vaeroy,Værøy,see,Turistkontor Husfliden sentrum,"Tourist information office, not a destination POI.",https://en.wikivoyage.org/wiki/V%C3%A6r%C3%B8y,http://www.varoy.kommune.no
batch_0057,43,europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,do,Ski Area Lagazuoi 5 Torri,Duplicate/overlaps existing Cinque Torri coverage for Cortina.,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo,https://lagazuoi.it/Ita/page8-Ski-Area-Lagazuoi
batch_0057,44,northamerica/unitedstates/ohio/hudson,Hudson,see,Jo Ann Stores HQ,"Corporate headquarters, not a travel POI.",https://en.wikivoyage.org/wiki/Hudson_%28Ohio%29,http://www.joann.com/
batch_0057,45,northamerica/unitedstates/mississippi/jackson,Jackson,do,Brilla Soccer Ministries,"Local soccer ministry/club, not a travel POI.",https://en.wikivoyage.org/wiki/Jackson_%28Mississippi%29,https://brillasoccer.org/
batch_0057,47,northamerica/canada/ontario/kingston,Kingston,do,Waddell Apples,Orchard/u-pick business below threshold for Kingston coverage.,https://en.wikivoyage.org/wiki/Kingston_%28Ontario%29,http://www.waddellapples.com
batch_0057,48,asia/laos/savannakhet,Savannakhet,do,Savan Vegas Casino,Casino resort listing below travel threshold for Savannakhet things_to_do.,https://en.wikivoyage.org/wiki/Savannakhet,https://www.savanresorts.com/
batch_0057,50,northamerica/unitedstates/colorado/fortcollins,Fort Collins,do,Rocky Mountain Adventures,Commercial rafting/outfitter shop; existing Cache la Poudre coverage handles the travel experience.,https://en.wikivoyage.org/wiki/Fort_Collins,https://www.shoprma.com/
