world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/sweden/jnkping,Jönköping,Jönköping,8,18,see,Västervikexpress,0.59,candidate,has description; high-value type; has external URL,,,Tändsticksmuseet (Match Museum),europe/sweden/jnkping/tandsticksmuseet,0.438,,,missing_coordinates; has_external_url,https://vastervikexpress.se/,https://en.wikivoyage.org/wiki/J%C3%B6nk%C3%B6ping,"transport-only coach service, not a Jonkoping attraction or POI"
europe/switzerland/neuchatel,Neuchatel,Neuchatel,8,33,do,Local wines,0.59,candidate,has description; high-value type; has external URL,,,Place des Halles,europe/switzerland/neuchatel/place_des_halles,0.522,,,missing_coordinates; has_external_url,http://www.ovpt.ch/,https://en.wikivoyage.org/wiki/Neuchatel,regional product category rather than a specific locatable POI
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Mutten-Valley,0.59,candidate,has description; high-value type; has external URL,,,Deutsches Bergbaumuseum,europe/germany/northrhinewestphalia/bochum/deutsches_bergbaumuseum,0.278,,,missing_coordinates; has_external_url,http://www.muttental.de,https://en.wikivoyage.org/wiki/Bochum,"duplicate/misassigned lead; Muttental Mining Trail already exists under Witten, where the valley belongs"
europe/austria/linz,Linz,Linz,11,63,do,The Posthof,0.59,candidate,has description; high-value type; has external URL,,,Grottenbahn (Grotto Railway),europe/austria/linz/grottenbahn,0.333,,,missing_coordinates; has_external_url,http://www.posthof.at,https://en.wikivoyage.org/wiki/Linz,duplicate/already covered by existing Linz Posthof POI
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Christmas at the Newport Mansions,0.59,candidate,has description; high-value type; has external URL,,,Newport Tower,northamerica/unitedstates/rhodeisland/newport/newport_tower,0.429,,,missing_coordinates; has_external_url,http://www.newportmansions.org,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29,seasonal event/programming rather than a durable POI; the mansions are already represented individually
europe/france/midi/languedoc/nmes,Nîmes,Nîmes,29,29,see,FUAJ youth hostel,0.59,candidate,has description; high-value type; has external URL,,,Café de la Bourse,europe/france/midi/languedoc/nmes/cafe_de_la_bourse,0.444,,,missing_coordinates; has_external_url,http://www.hifrance.org/auberge-de-jeunesse/nimes.html,https://en.wikivoyage.org/wiki/N%C3%AEmes,"accommodation listing, excluded from World66 POIs"
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,do,Memory Makin' Guides,0.59,candidate,has description; high-value type; has external URL,,,Bok Tower Gardens,northamerica/unitedstates/florida/lake_wales/bok_tower_gardens,0.389,,,missing_coordinates; has_external_url,http://www.memorymakinguides.com,https://en.wikivoyage.org/wiki/Lake_Wales,"ordinary commercial fishing guide operator, below Lake Wales POI threshold"
europe/denmark/copenhagen,Copenhagen,Copenhagen,101,98,do,CPH PIX,0.59,candidate,has description; high-value type; has external URL,,,Copenhagen Zoo,europe/denmark/copenhagen/copenhagen_zoo,0.381,,,missing_coordinates; has_external_url,http://www.cphpix.dk,https://en.wikivoyage.org/wiki/Copenhagen,event-only film festival rather than a year-round Copenhagen POI
asia/israel/eliat,Eilat,Eilat,1,35,do,"""What's Up"" The Observatory in Eilat",0.59,candidate,has description; high-value type; has external URL,,,The Red Sea Star,asia/israel/eliat/the_red_sea_star,0.286,,,missing_coordinates; has_external_url,https://www.facebook.com/israel.astronomy.stargazing/,https://en.wikivoyage.org/wiki/Eilat,ordinary commercial stargazing operator with no durable public POI location; below Eilat threshold
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,see,Trinity Transit,0.59,candidate,has description; high-value type; has external URL,,,Sacramento River Trail,northamerica/unitedstates/california/shastacascade/redding/sacramento_river_trail,0.432,,,missing_coordinates; has_external_url,http://www.trinitytransit.org,https://en.wikivoyage.org/wiki/Redding,"transport-only transit service, not a Redding attraction or POI"
