world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/norway/drammen,Drammen,Drammen,10,33,do,Downhill skiing,0.59,candidate,has description; high-value type; strong travel term,,,Drammen Spiral,europe/norway/drammen/drammen_spiral,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Drammen,candidate score 0.59 is below the 6.0 POI threshold
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,see,Towradgi,0.59,candidate,has description; high-value type; strong travel term,,,Sea Cliff Bridge,australiaandpacific/australia/newsouthwales/wollongong/sea_cliff_bridge,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wollongong,candidate score 0.59 is below the 6.0 POI threshold
europe/austria/klagenfurt,Klagenfurt,Klagenfurt,15,24,see,Gustav Mahler Komponierhäuschen,0.59,candidate,has description; high-value type; strong travel term,,,Stadttheater Klagenfurt,europe/austria/klagenfurt/stadttheater,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Klagenfurt,candidate score 0.59 is below the 6.0 POI threshold
europe/ireland/kildare,Kildare,Kildare,8,18,see,White Abbey,0.59,candidate,has description; high-value type; strong travel term,,,Japanese Gardens,europe/ireland/kildare/japanese_gardens,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kildare,candidate score 0.59 is below the 6.0 POI threshold
asia/palestinianauthority/hebron,Hebron,Hebron,5,34,see,Al-Jawali Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Abraham's Oak,asia/palestinianauthority/hebron/abrahams_oak,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hebron,candidate score 0.59 is below the 6.0 POI threshold
asia/philippines/quezon_province/lucban,Lucban,Lucban,3,11,see,San Luis Obispo Parish Church,0.59,candidate,has description; high-value type; strong travel term,,,Lucban Church (San Luis Obispo de Tolosa),asia/philippines/quezon_province/lucban/lucban_church,0.524,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucban,candidate score 0.59 is below the 6.0 POI threshold
asia/china/anhui/hefei,Hefei,Hefei,15,55,see,Kai Fu Buddhist Temple,0.59,candidate,has description; high-value type; strong travel term,,,Mingjiao Temple,asia/china/anhui/hefei/mingjiao_temple,0.486,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hefei,candidate score 0.59 is below the 6.0 POI threshold
africa/libya/tripoli,Tripoli,Tripoli,12,22,see,Museum of Libya,0.59,candidate,has description; high-value type; strong travel term,,,Medina Museum,africa/libya/tripoli/medinamuseum,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli,candidate score 0.59 is below the 6.0 POI threshold
africa/namibia/outjo,Outjo,Outjo,5,6,see,Naulila Monument,0.59,candidate,has description; high-value type; strong travel term,,,Outjo Museum,africa/namibia/outjo/outjo_museum,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Outjo,candidate score 0.59 is below the 6.0 POI threshold
europe/italy/sicily/pelagianislands/linosa,Linosa,Linosa,3,10,see,Roman Cisterns,0.59,candidate,has description; high-value type; strong travel term,,,Monte Vulcano,europe/italy/sicily/pelagianislands/linosa/monte_vulcano,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Linosa,candidate score 0.59 is below the 6.0 POI threshold
