world66_path,wv_name,reason
asia/southkorea/dae_gu,Hillcrest,Commercial seasonal attraction outside central Daegu with unclear current travel value.
europe/russia/irkutsk,Vladimyr Church,Minor church lead with limited independent visitor value for Irkutsk.
asia/southkorea/dae_gu,Palgong Mountain Cherry Blossom Festival,Seasonal festival rather than a durable POI.
northamerica/unitedstates/newmexico/albuquerque,Cliff's Amusement Park,Local amusement park does not clearly clear the standalone threshold for Albuquerque.
northamerica/canada/alberta/lethbridge,Brewery Gardens,Small local park with limited destination value.
europe/finland/espoo,Marketanpuisto,Garden exhibition area is local-interest and does not clearly clear score 6.0 for Espoo.
europe/finland/rauma,Omenapuumaa nature trail,Local nature trail outside central Rauma with limited independent travel draw.
europe/hungary/szekesfehervar,Füle,Nearby village rather than a POI for Székesfehérvár.
asia/japan/honshu/okayama,Ancient Kibi Cultural Properties Center,Specialist cultural-properties facility below the clear visitor threshold for Okayama.
northamerica/canada/manitoba/winnipeg,St. Vital Park,Local urban park with limited standalone POI value.
northamerica/unitedstates/pennsylvania/easton_pa,Delaware & Lehigh National Heritage Corridor,Large multi-county corridor rather than a specific Easton POI.
europe/finland/joensuu,Joensuu Bunker Museum,Small seasonal specialist museum with limited evidence of score-6 visitor value.
europe/italy/lombardia/lagodigarda/sirmione,Centro storico navetta,Shuttle service rather than an attraction or POI.
europe/greece/drama,Bird of Prey Park,Specialist wildlife facility outside Drama with unclear travel draw for the parent.
europe/greece/kavala,Tosca,Accommodation and beach-resort lead which World66 excludes.
northamerica/unitedstates/pennsylvania/scranton,Montage Mountain Ski Resort,Commercial ski and waterpark resort rather than a stable public POI for Scranton.
northamerica/unitedstates/maryland/annapolis,Sandy Point State Park,State park outside Annapolis with day-trip value but weak fit as a flat city POI.
europe/hungary/tapolca,Hegyesd,Nearby village and castle-hill lead rather than a POI for Tapolca.
asia/india/kerala/kozhikode,KIRTADS Museum,Specialist institute museum with limited evidence of independent visitor value for Kozhikode.
europe/hungary/tapolca,Szentbékkálla,Nearby village rather than a flat POI for Tapolca.
asia/china/zhejiang/hangzhou,Museum of Chinese Go,Specialist museum lead with limited corroboration and below the clear Hangzhou POI threshold.
asia/india/kerala/thrissur,Vaidyaratnam Ayurveda Museum,Commercial brand-linked museum outside Thrissur with limited independent travel value.
northamerica/unitedstates/florida/tampabayarea/tampa,Adventure Island,Commercial water park and seasonal attraction rather than a durable public POI.
europe/poland/lodz,Łódź Hills Landscape Park,Large landscape park outside the city core and better treated as a regional excursion.
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Endcliffe Park,Local urban park with limited destination value.
northamerica/guatemala/guatemalacity,Museo Carlos F. Novella,Brand-linked cement museum with limited general traveller draw.
asia/malaysia/johorbahru,Savory Baking Garden,Commercial baking business rather than a public POI.
